Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Acclaimed Contender,Throne of Eldraine,1,FALSE,0.35,Rare,1,a508ffbe-aa58-4dae-b366-fea688b60755,166,moc,rare
All That Glitters,Throne of Eldraine,1,FALSE,0.60,Uncommon,2,5fc0b82a-f943-4330-b9e7-bb4527354bfd,9,cmm,common
Archon of Absolution,Throne of Eldraine,1,FALSE,0.25,Uncommon,3,684ca60c-7ed4-49e1-b54a-91d129539375,3,eld,uncommon
Ardenvale Paladin,Throne of Eldraine,1,FALSE,0.15,Common,4,a32fa360-6c41-4146-931b-c19e9a766803,4,eld,common
Ardenvale Tactician // Dizzying Swoop,Throne of Eldraine,1,FALSE,0.19,Common,5,c7d5e394-8e41-442e-ae97-a478a61e1b9d,5,eld,common
Bartered Cow,Throne of Eldraine,1,FALSE,0.16,Common,6,1de43c67-7dfe-4282-b433-4e394366d2e9,6,eld,common
Beloved Princess,Throne of Eldraine,1,FALSE,0.18,Common,7,4c6ee4eb-70b2-4f99-9d54-5caf2d3713be,7,eld,common
Charming Prince,Throne of Eldraine,1,FALSE,2.24,Rare,8,aa7b47e1-7e32-4f2f-aecf-bac7ca197081,568,fdn,rare
The Circle of Loyalty,Throne of Eldraine,1,FALSE,1.63,Mythic Rare,9,81910ade-a742-4ed7-ab15-bca95850f8b5,98,dmc,mythic
Deafening Silence,Throne of Eldraine,1,FALSE,1.89,Uncommon,10,6072d9b0-d3c7-46f4-bd24-095bb13c4dea,10,eld,uncommon
Faerie Guidemother // Gift of the Fae,Throne of Eldraine,1,FALSE,0.19,Common,11,e8bbece8-9620-44d9-b991-350fe952538a,11,eld,common
Flutterfox,Throne of Eldraine,1,FALSE,0.15,Common,12,769cddf0-2078-456b-a622-057571464fe7,12,eld,common
Fortifying Provisions,Throne of Eldraine,1,FALSE,0.15,Common,13,98ce113c-53da-4fab-b7c9-fc3df248b65e,13,eld,common
Giant Killer // Chop Down,Throne of Eldraine,1,FALSE,0.40,Rare,14,75754468-2850-42e6-ab22-61ff7b9d1214,14,eld,rare
Glass Casket,Throne of Eldraine,1,FALSE,0.20,Uncommon,15,02c5c395-ee8b-47fd-ac52-256354c19cdf,16,woe,uncommon
Happily Ever After,Throne of Eldraine,1,FALSE,0.30,Rare,16,d32d85d5-a6f0-4cc5-9fd6-6b329aae2e5b,16,eld,rare
Harmonious Archon,Throne of Eldraine,1,FALSE,0.45,Mythic Rare,17,c7093834-9627-4da2-9322-c03bfd5b3a71,17,eld,mythic
Hushbringer,Throne of Eldraine,1,FALSE,0.74,Rare,18,663b3e6f-1099-4de8-a0a7-6f1919c38010,18,eld,rare
Knight of the Keep,Throne of Eldraine,1,FALSE,0.15,Common,19,0d49653d-cd4e-40a7-99de-fc531b5d8594,19,eld,common
"Linden, the Steadfast Queen",Throne of Eldraine,1,FALSE,0.45,Rare,20,0dcd0898-db3d-44ec-9d56-a1b558da90f4,577,fdn,rare
Lonesome Unicorn // Rider in Need,Throne of Eldraine,1,FALSE,0.15,Common,21,99083707-2152-42c0-b5c3-b4f97ec20190,21,eld,common
Mysterious Pathlighter,Throne of Eldraine,1,FALSE,0.20,Uncommon,22,1028aa10-aded-4aeb-b70f-d7a9003ae846,22,eld,uncommon
Outflank,Throne of Eldraine,1,FALSE,0.15,Common,23,663e0208-81c3-4a76-bcc2-bc59cf8ca649,23,eld,common
Prized Griffin,Throne of Eldraine,1,FALSE,0.15,Common,24,877bd423-83ff-4a28-b0d2-447a7821bb8c,24,eld,common
