Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Claws of Gix,Time Spiral (Timeshifted),1,FALSE,1.02,Special,107,d02b645e-ba2c-44a0-889e-c1b46d2cd925,107,tsb,special
Defiant Vanguard,Time Spiral (Timeshifted),1,FALSE,0.28,Special,5,a37acadc-0e58-4f44-93f4-dd465b9ee06f,5,tsb,special
Dodecapod,Time Spiral (Timeshifted),1,FALSE,0.31,Special,108,156afb5a-df38-4555-b59b-f3fa64ce5bff,220,dmr,uncommon
Dragonstorm,Time Spiral (Timeshifted),1,FALSE,2.30,Special,60,230cd568-f7ed-4571-a609-36522add91d0,111,mma,rare
Fiery Justice,Time Spiral (Timeshifted),1,FALSE,0.35,Special,92,144668d6-cab6-45e6-8498-ab7cd927f9df,212,2x2,rare
Fire Whip,Time Spiral (Timeshifted),1,FALSE,0.39,Special,63,53948505-1057-4d68-aa6f-291dfa63d475,63,tsb,special
Icatian Javelineers,Time Spiral (Timeshifted),1,FALSE,0.25,Special,10,9ccce13a-77e6-4c74-9acc-d5e7c271872a,9,dmr,common
Jasmine Boreal,Time Spiral (Timeshifted),1,FALSE,0.49,Special,93,004af467-815a-47c0-a974-1ae49ca3a1a8,93,tsb,special
"Jolrael, Empress of Beasts",Time Spiral (Timeshifted),1,FALSE,1.06,Special,81,01084157-60e5-4693-bbec-be60b0b4e04f,81,tsb,special
Mystic Enforcer,Time Spiral (Timeshifted),1,FALSE,0.39,Special,96,187ebb67-1bdd-4a9c-aeeb-554e7580ce24,192,dmr,uncommon
Serrated Arrows,Time Spiral (Timeshifted),1,FALSE,0.48,Special,114,1519b17c-9003-43e0-958f-1fcd20ab2d70,20,gvl,common
Shadowmage Infiltrator,Time Spiral (Timeshifted),1,FALSE,0.59,Special,99,2ac920d7-013f-40ad-b79f-0bb59062d42a,240,otc,rare
Sindbad,Time Spiral (Timeshifted),1,FALSE,0.33,Special,31,6a6372ec-1ae2-4806-bb31-78f9ea6259df,31,tsb,special
Soltari Priest,Time Spiral (Timeshifted),1,FALSE,0.39,Special,14,45a3854c-147e-4644-8438-d973648c974d,32,tpr,uncommon
Squire,Time Spiral (Timeshifted),1,FALSE,0.33,Special,15,96c9c4d1-dd43-4156-b25f-0e707b6c4b23,15,tsb,special
Stormbind,Time Spiral (Timeshifted),1,FALSE,0.39,Special,102,45f03556-cef5-438d-a1d8-66c297502622,102,tsb,special
Teferi's Moat,Time Spiral (Timeshifted),1,FALSE,0.99,Special,103,37566afe-d383-4aa1-a9e4-c4bdf91a06d3,103,tsb,special
Valor,Time Spiral (Timeshifted),1,FALSE,0.49,Special,16,ea65e470-4892-4b2b-b187-2296c7a8d46a,16,tsb,special
Wildfire Emissary,Time Spiral (Timeshifted),1,FALSE,0.30,Special,72,9f255055-0499-400f-ae0a-c32624f0ce78,153,ema,common
Witch Hunter,Time Spiral (Timeshifted),1,FALSE,0.33,Special,17,980ada04-1fb2-4aa8-b342-8934767587e0,17,tsb,special
Zhalfirin Commander,Time Spiral (Timeshifted),1,FALSE,0.25,Special,18,e296cd1a-0508-46c1-aeda-82ecde991caa,13,ddg,uncommon
