Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Ætherflame Wall,Time Spiral,1,FALSE,0.24,Common,142,93b14f08-dd93-4a9f-a616-8f8d0b26b966,142,tsp,common
Amrou Scout,Time Spiral,1,FALSE,0.20,Common,1,da2b6d3a-15e7-4305-9384-3635159cb421,1,tsr,common
Ancient Grudge,Time Spiral,1,FALSE,0.27,Common,143,5f28d4a2-6c75-44c2-93ac-e7159c1c623f,151,tsr,common
Ashcoat Bear,Time Spiral,1,FALSE,0.45,Common,190,9b7a6ab5-8a8f-492c-8484-3089354ce8cf,190,tsp,common
Assassinate,Time Spiral,1,FALSE,0.24,Common,95,ac0a1dc6-215f-4738-8ae4-7b6aa1c7d80b,101,tsr,common
Assembly-Worker,Time Spiral,1,FALSE,0.24,Uncommon,248,89a288d2-de94-4c49-a17e-5b0ed0281a5b,221,a25,common
Barbed Shocker,Time Spiral,1,FALSE,0.25,Uncommon,144,44165e0e-17f9-46ea-8039-f81b44f6d446,136,cns,uncommon
Basal Sliver,Time Spiral,1,FALSE,0.60,Common,96,4564e9df-bfa3-48e5-a12e-f7e96a504cb1,96,tsp,common
Basalt Gargoyle,Time Spiral,1,FALSE,0.25,Uncommon,145,9d49201b-bd41-49b7-b00e-4ab8034a3a03,153,tsr,uncommon
Bewilder,Time Spiral,1,FALSE,0.20,Common,49,e9aa1ab5-0085-4043-8272-64e10f3dcf2a,53,tsr,common
Blazing Blade Askari,Time Spiral,1,FALSE,0.20,Common,146,cabf35d5-de8a-4d9d-be59-7ad7039873c6,146,tsp,common
Bogardan Rager,Time Spiral,1,FALSE,0.21,Common,148,04128756-cfdc-4e7e-be5f-c9a34c2a0ccc,57,ddg,common
Brass Gnat,Time Spiral,1,FALSE,0.20,Common,249,386ae7c6-347c-4b29-b7a9-3ca3bb050396,249,tsp,common
Cancel,Time Spiral,1,FALSE,0.23,Common,51,475bff39-220a-4490-9c2e-d311e306a6db,505,fdn,common
Cavalry Master,Time Spiral,1,FALSE,0.25,Uncommon,6,f7b19194-87bf-432c-8d34-91dd9520cbd2,6,tsp,uncommon
Celestial Crusader,Time Spiral,1,FALSE,0.25,Uncommon,7,56f371f5-9c2a-4a00-a4d2-e4f97ac0f3e0,13,tsr,uncommon
Chameleon Blur,Time Spiral,1,FALSE,0.20,Common,192,6d506b1c-f329-4e07-8926-a87b4abf16a7,192,tsp,common
Children of Korlis,Time Spiral,1,FALSE,0.34,Common,8,1a6cbece-f9d8-4c40-b72b-dfdb86430ff2,14,tsr,common
Chronatog Totem,Time Spiral,1,FALSE,0.25,Uncommon,252,5acd482c-9815-4ff5-99ef-fb1a014251bb,252,tsp,uncommon
Clockspinning,Time Spiral,1,FALSE,0.48,Common,53,1323d548-e2fe-47c5-8df3-f181aed537c5,53,tsp,common
Clockwork Hydra,Time Spiral,2,FALSE,0.25,Uncommon,253,babba9f7-86e4-4e11-9fb8-acd50fbd8031,264,tsr,uncommon
Conflagrate,Time Spiral,1,FALSE,0.40,Uncommon,151,bfbbcc1a-c6cc-4671-91ab-9dcf454f62e0,160,tsr,uncommon
Coral Trickster,Time Spiral,1,FALSE,0.22,Common,54,b8eacbc6-362e-4257-b29f-78682f4130c1,58,tsr,common
Corpulent Corpse,Time Spiral,1,FALSE,0.24,Common,98,c8680e7c-f180-45b9-9af6-a8e93037b851,104,tsr,common
Crookclaw Transmuter,Time Spiral,1,FALSE,0.23,Common,55,aba5f411-668b-4344-be2f-c8f6cc3255e8,59,tsr,common
Cyclopean Giant,Time Spiral,1,FALSE,0.20,Common,100,fab6bc89-492a-46a4-90dc-95ae2e2bc483,100,tsp,common
Dementia Sliver,Time Spiral,1,FALSE,0.30,Uncommon,236,955028d2-33df-4295-8ee3-572e5979b04c,236,tsp,uncommon
Divine Congregation,Time Spiral,1,FALSE,0.22,Common,13,9f781071-e9bc-49ee-ac94-23490134b909,13,tsp,common
Dreadship Reef,Time Spiral,1,FALSE,0.32,Uncommon,271,18642a9e-ac45-402b-bb56-08cb6336c485,276,tsr,uncommon
Dream Stalker,Time Spiral,1,FALSE,0.25,Common,58,e59b4729-74c1-4aa9-937d-27cda960f157,63,tsr,common
Drifter il-Dal,Time Spiral,1,FALSE,0.22,Common,59,d40c45e7-f157-4b3f-a627-09b5c27473ae,65,tsr,common
Drudge Reavers,Time Spiral,1,FALSE,0.25,Common,105,03c07d9a-afed-4028-9fa1-ec439b60f08f,105,tsp,common
Durkwood Baloth,Time Spiral,1,FALSE,0.20,Common,193,dce39dd1-ca51-420f-a627-1511192d34c2,200,tsr,common
Duskrider Peregrine,Time Spiral,1,FALSE,0.25,Uncommon,14,321ff631-54f0-4501-852a-569790d05cf1,16,tsr,uncommon
Errant Doomsayers,Time Spiral,1,FALSE,0.20,Common,15,0eb5c6e6-7251-4b80-9561-742442d8a497,17,tsr,common
Errant Ephemeron,Time Spiral,1,FALSE,0.20,Common,60,3779a76a-0171-4714-9713-a65dc173a33f,66,tsr,common
Eternity Snare,Time Spiral,1,FALSE,0.20,Common,61,fa167147-68ca-49af-98d3-538474ea1158,37,bng,uncommon
Evil Eye of Urborg,Time Spiral,1,FALSE,0.30,Uncommon,107,fc17fe31-11f1-48e0-9b0d-7c7dcda417a6,107,tsp,uncommon
Fathom Seer,Time Spiral,1,FALSE,0.20,Common,62,6c0f831e-2eb0-499f-9502-418c04ac34a0,68,tsr,common
Flamecore Elemental,Time Spiral,1,FALSE,0.20,Common,154,940bfe4f-bc18-4506-b6f4-13d339fd3e55,154,tsp,common
Fledgling Mawcor,Time Spiral,1,FALSE,0.25,Uncommon,63,4d461acf-f7dc-4f57-be58-48d3e1018959,10,jvc,uncommon
Flowstone Channeler,Time Spiral,1,FALSE,0.20,Common,155,9f10fa1c-2c7b-49ba-87b6-3b652b65704d,155,tsp,common
Fool's Demise,Time Spiral,1,FALSE,0.40,Uncommon,64,3ed39bd7-d059-4a44-9f03-0f628dcdb119,111,c14,uncommon
Forest (299),Time Spiral,1,TRUE,0.37,Basic Land,299,,,,
Forest (298),Time Spiral,1,FALSE,0.25,Basic Land,298,,,,
Fungal Reaches,Time Spiral,1,FALSE,0.30,Uncommon,273,1a3580d6-345a-46ba-a327-0e924989d6b1,279,tsr,uncommon
Fury Sliver,Time Spiral,1,FALSE,0.50,Uncommon,157,a8a64329-09fc-4e0d-b7d1-378635f2801a,164,tsr,uncommon
Ghitu Firebreathing,Time Spiral,1,FALSE,0.24,Common,158,9098b989-072a-4e5b-8972-22c61645c5bb,158,tsp,common
Ghostflame Sliver,Time Spiral,1,FALSE,0.46,Uncommon,239,64eb10d1-22c6-4848-a7f4-c6ccd2c66dae,239,tsp,uncommon
Glass Asp,Time Spiral,1,FALSE,0.24,Common,197,118253e9-f33a-455d-b785-dd9df657e7cf,197,tsp,common
Goblin Skycutter,Time Spiral,1,FALSE,0.20,Common,159,c45406cd-a036-45d5-a0fb-3c195d40d746,159,tsp,common
Grapeshot,Time Spiral,1,FALSE,0.47,Common,160,923e1291-3999-4f81-ade4-073fb982143f,125,dmr,common
Ground Rift,Time Spiral,1,FALSE,0.39,Common,162,62333783-6a18-4461-88ce-1c37eaf64e2b,162,tsp,common
Gustcloak Cavalier,Time Spiral,1,FALSE,0.25,Uncommon,22,c36a5462-3a21-4d64-af92-b541b425cdf5,22,tsp,uncommon
Havenwood Wurm,Time Spiral,1,FALSE,0.20,Common,199,561a4bb5-285a-4d52-b372-d165e442cff3,199,tsp,common
Herd Gnarr,Time Spiral,1,FALSE,0.20,Common,200,9cf4fd75-34b1-4afa-b8cd-777dfc9e6376,200,tsp,common
Hypergenesis,Time Spiral,1,FALSE,1.00,Rare,201,65757321-2f26-44dc-a4f8-31d40fbf1681,210,tsr,mythic
Ignite Memories,Time Spiral,1,FALSE,0.49,Uncommon,164,2f7b7831-27a1-4c0a-8ed1-6dddf2754d65,164,tsp,uncommon
Ironclaw Buzzardiers,Time Spiral,1,FALSE,0.23,Common,165,b07e37ea-aa8d-4443-9af6-4351994bc00c,165,tsp,common
Island (287),Time Spiral,1,FALSE,0.25,Basic Land,287,,,,
Keldon Halberdier,Time Spiral,1,FALSE,0.21,Common,167,55e0caef-215a-4433-8a85-322e62e3590d,173,tsr,common
Knight of the Holy Nimbus,Time Spiral,1,FALSE,0.25,Uncommon,26,d4ac76c0-54ce-41b2-9000-e21eecaf7e99,23,tsr,uncommon
Liege of the Pit,Time Spiral,1,FALSE,0.75,Rare,113,52e7c608-d224-472b-8736-273874211f24,113,tsp,rare
Locket of Yesterdays,Time Spiral,1,FALSE,2.43,Uncommon,258,b316f198-4465-4fb5-a7a6-a92bf8eae8c1,258,tsp,uncommon
Looter il-Kor,Time Spiral,1,FALSE,0.28,Common,66,7083c77c-166f-4c6f-a2ca-dd1b877ff5f7,102,cmm,common
Mana Skimmer,Time Spiral,1,FALSE,0.23,Common,117,8a39ed44-bc0c-40e2-ba53-cd586c2d5877,117,tsp,common
Mindlash Sliver,Time Spiral,1,FALSE,0.28,Common,118,f8c54575-dc1d-491c-a4f6-41f76eba2a2d,118,tsp,common
Mindstab,Time Spiral,1,FALSE,0.22,Common,119,542f97fa-6295-4c87-86a8-7ff2bc8b5e81,123,tsr,common
Mogg War Marshal,Time Spiral,1,FALSE,0.25,Common,170,a7f7f39c-94a0-4ccb-b658-23095ada4005,131,dmr,common
Molder,Time Spiral,1,FALSE,0.24,Common,206,8c0eb32c-89b1-40be-a77c-62c114a73ccc,206,tsp,common
Mountain (295),Time Spiral,1,TRUE,0.71,Basic Land,295,,,,
Mystical Teachings,Time Spiral,1,FALSE,0.25,Common,69,3f88eacf-5c7b-4a35-86f0-af3b0516d4c2,594,fdn,uncommon
Nantuko Shaman,Time Spiral,1,FALSE,0.24,Common,208,a3370c6d-a743-49b3-b869-da65b49391d9,221,tsr,common
Nightshade Assassin,Time Spiral,1,FALSE,0.24,Uncommon,121,cd610675-f8ab-47a7-a4db-c1bfb0e9d5c8,128,tsr,uncommon
Ophidian Eye,Time Spiral,1,FALSE,4.00,Common,70,26836ff5-b3c3-4b10-af1e-df3658781cb2,70,tsp,common
Orcish Cannonade,Time Spiral,1,FALSE,0.25,Common,172,0afae574-aa96-4500-9882-a4b10337b6f5,178,tsr,common
Outrider en-Kor,Time Spiral,1,FALSE,0.37,Uncommon,31,de9b2506-ead4-49ff-a733-66f3f13dbe17,30,tsr,uncommon
Paradise Plume,Time Spiral,1,FALSE,0.30,Uncommon,260,6a83c2b6-8734-44a8-8b10-c8a6791e0336,255,c21,uncommon
Penumbra Spider,Time Spiral,1,FALSE,0.24,Common,210,c862a2f7-673e-44bd-b8ee-e4295da1e0d5,223,tsr,common
Phyrexian Totem,Time Spiral,1,FALSE,0.25,Uncommon,261,31593a02-d026-4108-82e0-21ad5ff8c890,20,dde,uncommon
Plains (283),Time Spiral,1,FALSE,0.25,Basic Land,283,,,,
Plains (285),Time Spiral,1,FALSE,0.28,Basic Land,285,,,,
Plains (284),Time Spiral,1,FALSE,0.25,Basic Land,284,,,,
Plains (282),Time Spiral,1,FALSE,0.24,Basic Land,282,,,,
Plated Pegasus,Time Spiral,1,FALSE,0.25,Uncommon,34,873fddf3-40e7-41ee-9519-98d0a5268fd1,34,tsp,uncommon
Premature Burial,Time Spiral,1,FALSE,0.25,Uncommon,125,b42f83e3-631b-432e-8d2f-f62d3207e95e,131,tsr,uncommon
Primal Forcemage,Time Spiral,1,FALSE,0.25,Uncommon,212,0503078a-c5a8-4292-a573-82d062870c7f,225,tsr,uncommon
Prismatic Lens,Time Spiral,1,FALSE,0.39,Common,262,74e8d3a8-5937-4108-b2fe-23e049379345,264,otc,uncommon
Psychotic Episode,Time Spiral,1,FALSE,0.25,Common,126,fa6d8c51-bff9-4eba-8c1b-2d45b7635c52,132,tsr,common
Pull from Eternity,Time Spiral,1,FALSE,1.57,Uncommon,35,3d218091-d218-41ad-b666-c8ab3de7160a,35,tsp,uncommon
Quilled Sliver,Time Spiral,1,FALSE,0.49,Uncommon,37,72486240-eabb-4b37-99cc-ab13413683fa,37,tsp,uncommon
Return to Dust,Time Spiral,1,FALSE,0.32,Uncommon,39,3c3745c2-5509-4d6b-8f49-5cb93374edea,102,dsc,uncommon
Scarwood Treefolk,Time Spiral,1,FALSE,0.22,Common,214,ed6dece3-058c-4738-a22f-8893345ddd1c,214,tsp,common
