Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Acorn Harvest,Torment,1,FALSE,2.28,Common,118,32987720-cc0c-416b-b79b-217d3b37542d,118,tor,common
Aquamoeba,Torment,1,FALSE,0.25,Common,24,62721a55-37c6-4c05-aedf-0aa203045afa,38,dmr,common
Aven Trooper,Torment,1,FALSE,0.22,Common,2,79c8f774-6d4f-4fd0-85c0-26ef713e6b89,2,tor,common
Balshan Collaborator,Torment,1,FALSE,0.24,Uncommon,25,e23ebd3b-59bf-4f3d-b320-9283871c4540,25,tor,uncommon
Barbarian Outcast,Torment,1,FALSE,0.22,Common,92,b9d67b5c-ab20-456e-8ff5-7521be8273b2,92,tor,common
Cabal Surgeon,Torment,1,FALSE,0.20,Common,52,29ce55a2-d838-48ab-862e-d419b0cda3c9,52,tor,common
Carrion Rats,Torment,1,FALSE,0.25,Common,54,2efa2579-c048-4506-babc-ec1c29bb99a8,54,tor,common
Centaur Veteran,Torment,1,FALSE,0.20,Common,123,a83903c1-40fe-47a5-8bcc-2f0877c58225,123,tor,common
Circular Logic,Torment,1,FALSE,1.01,Uncommon,33,4b19fdac-da3e-4ebd-ae7b-6f31a97b2a0f,42,dmr,uncommon
Crackling Club,Torment,1,FALSE,0.25,Common,93,0810f7e3-03ff-4c46-a88f-2f8144540780,93,tor,common
Crazed Firecat,Torment,1,FALSE,0.33,Uncommon,94,5ef809de-ff64-4832-95dd-2ebda5942df8,94,tor,uncommon
Enslaved Dwarf,Torment,1,FALSE,0.28,Common,96,da5003a6-211e-43d3-9a3c-756496357163,96,tor,common
Equal Treatment,Torment,1,FALSE,0.30,Uncommon,4,310cb525-9299-471e-b310-392353b25472,4,tor,uncommon
Far Wanderings,Torment,1,FALSE,0.40,Common,125,db67c59e-a9fb-4580-a8cc-ac5ef6c07440,66,znc,common
Flaming Gambit,Torment,1,FALSE,0.25,Uncommon,98,fb7fd9b7-c394-4ab3-b945-b4aab694eb6a,98,tor,uncommon
Flash of Defiance,Torment,1,FALSE,0.23,Common,99,3e550776-b806-4f66-8aab-e6a5dac6d5cc,99,tor,common
Floating Shield,Torment,1,FALSE,0.24,Common,5,4dbda39b-a998-4ad9-95df-72ed9556c390,5,tor,common
Frantic Purification,Torment,1,FALSE,0.23,Common,6,04f156d1-2655-42aa-a785-d8eb15cb5422,6,tor,common
Hydromorph Guardian,Torment,1,FALSE,0.21,Common,39,40e4ace0-421d-4e8e-ab85-8f74757e99c7,39,tor,common
Krosan Constrictor,Torment,1,FALSE,0.20,Common,129,f24b3479-18c3-4c43-b8d1-8b4a25d271a7,129,tor,common
Laquatus's Champion,Torment,1,FALSE,0.65,Rare,67,0e7ed355-894a-4592-9a64-ef061550d560,95,a25,rare
Militant Monk,Torment,1,FALSE,0.20,Common,9,886a3cfd-7f83-480a-bb22-eec67ad35e4f,9,tor,common
Mind Sludge,Torment,1,FALSE,0.26,Uncommon,70,7aaedf6d-171b-4845-8815-debbe06b5b66,102,zen,uncommon
Mystic Familiar,Torment,1,FALSE,0.20,Common,11,b235567a-424e-48da-a94b-c6674a73b3fa,11,tor,common
Nantuko Calmer,Torment,1,FALSE,0.22,Common,132,c76b1198-feff-437c-9d4c-94785144c98f,132,tor,common
Pardic Arsonist,Torment,1,FALSE,0.25,Uncommon,105,1c2538fa-2eb7-47ca-a1cf-e5546e26e584,105,tor,uncommon
Pardic Collaborator,Torment,1,FALSE,0.24,Uncommon,106,a9a60f33-1d1a-4c7c-9eb2-d9fc0d56b127,106,tor,uncommon
Pardic Lancer,Torment,1,FALSE,0.20,Common,107,f487a6a7-066a-49bb-ab76-d79fc4300c29,107,tor,common
Pay No Heed,Torment,1,FALSE,0.20,Common,12,457ea1f3-890c-4bff-9938-cd46252477f4,19,ddl,common
Petravark,Torment,1,FALSE,0.20,Common,109,ffc98d09-439e-426b-8403-4a3e12167336,109,tor,common
Pitchstone Wall,Torment,1,FALSE,0.25,Uncommon,110,9bfea263-6ff0-41be-9755-03bcdebfb255,110,tor,uncommon
Putrid Imp,Torment,1,FALSE,0.47,Common,77,47a929a4-b861-432c-a2f3-3125f8a2665b,135,vma,common
Pyromania,Torment,1,FALSE,0.25,Uncommon,112,6a5af4e9-a2b6-43c7-8ff4-e761fbf693a7,112,tor,uncommon
Rancid Earth,Torment,1,FALSE,0.31,Common,78,23d07a96-85ba-4714-94a5-4a8125954f58,78,tor,common
Restless Dreams,Torment,1,FALSE,0.25,Common,79,63795680-5310-4c99-92c1-70e453391de9,79,tor,common
Skullscorch,Torment,1,FALSE,0.50,Rare,114,88f1343c-77bf-4f44-8226-fdfb2c2c7015,114,tor,rare
Skywing Aven,Torment,1,FALSE,0.19,Common,47,712408f9-4bc2-447d-8efe-59c5d53ae364,69,uma,common
Sonic Seizure,Torment,1,FALSE,0.21,Common,115,98eb9371-aa20-4790-baf8-a1ad95de39de,115,tor,common
Spirit Flare,Torment,1,FALSE,0.20,Common,15,efdbe7c6-99ad-4c73-bffe-7bbdc6965854,15,tor,common
Stern Judge,Torment,1,FALSE,0.25,Uncommon,16,436044d7-981c-4273-a0b4-6dd455608c47,16,tor,uncommon
Strength of Isolation,Torment,1,FALSE,0.25,Uncommon,17,7676e6fb-030d-40aa-a914-27ab6d7d5fc5,17,tor,uncommon
Stupefying Touch,Torment,1,FALSE,0.25,Uncommon,48,6355ae63-3072-4c6f-bf46-ee6e9c4fedba,74,ema,common
Temporary Insanity,Torment,1,FALSE,0.25,Uncommon,116,d37747ce-d532-469b-9963-ad25c95a8361,73,ddg,uncommon
Teroh's Faithful,Torment,1,FALSE,0.23,Common,18,ce1de3e4-d6b5-4c91-858c-94d62e69d1c7,52,vma,common
Teroh's Vanguard,Torment,1,FALSE,0.25,Uncommon,19,1a39f909-7114-4482-8302-b2a56ca9f556,19,tor,uncommon
Violent Eruption,Torment,1,FALSE,0.27,Uncommon,117,419e6697-89ab-49f1-a867-8f86f001c80c,154,c19,uncommon
