Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Æther Sting,Urza's Destiny,1,FALSE,0.50,Uncommon,76,66a09917-50ce-4b51-a5cf-e28e88a45762,76,uds,uncommon
Ancient Silverback,Urza's Destiny,1,FALSE,0.60,Rare,101,7b24ea58-0690-45d7-a84b-265b6277b59a,168,m15,uncommon
Apprentice Necromancer,Urza's Destiny,1,FALSE,2.40,Rare,51,18d86ad3-e0a1-43da-9dc1-a9028b719c99,84,uma,uncommon
Archery Training,Urza's Destiny,1,FALSE,0.32,Uncommon,2,151232e6-68cc-4cac-a532-9ade8e925961,2,uds,uncommon
Blizzard Elemental,Urza's Destiny,1,FALSE,0.48,Rare,27,5949c5a7-9656-466a-add8-1800973fefee,27,uds,rare
Bloodshot Cyclops,Urza's Destiny,1,FALSE,0.58,Rare,77,b021f1ea-4db1-40fb-a5dc-af13be53ad15,179,8ed,rare
Body Snatcher,Urza's Destiny,1,FALSE,0.69,Rare,53,2d7d83a8-3bad-40cf-991c-fc7f8e399c42,75,dmr,rare
Braidwood Cup,Urza's Destiny,1,FALSE,0.31,Uncommon,126,c2e783b7-9bd1-4f82-bf20-5d201413f5e8,126,uds,uncommon
Braidwood Sextant,Urza's Destiny,1,FALSE,0.25,Uncommon,127,16dc7634-8ef5-4a03-8276-7e1dae4244c2,127,uds,uncommon
Brass Secretary,Urza's Destiny,1,FALSE,0.25,Uncommon,128,c5685cff-b607-4a81-aa47-6676ab1a5782,128,uds,uncommon
Brine Seer,Urza's Destiny,1,FALSE,0.30,Uncommon,28,2f6e5575-b004-417f-9366-6ba7840a79e7,28,uds,uncommon
Bubbling Beebles,Urza's Destiny,1,FALSE,0.22,Common,29,002cf7d8-3fc2-48eb-a727-a1ce5a049665,29,uds,common
Bubbling Muck,Urza's Destiny,1,FALSE,3.00,Common,54,6ca76614-78a1-4535-9162-70469d1e8a13,54,uds,common
Capashen Knight,Urza's Destiny,1,FALSE,0.23,Common,3,78802af4-46b5-4bac-8cdf-5b77d0b19895,11,m14,common
Capashen Standard,Urza's Destiny,1,FALSE,0.24,Common,4,16665386-405e-48c9-8c69-c21b03931c2f,4,uds,common
Capashen Templar,Urza's Destiny,1,FALSE,0.22,Common,5,0976a193-463a-4bcb-a951-ca73347a5572,5,uds,common
Carnival of Souls,Urza's Destiny,1,FALSE,8.49,Rare,55,847340fb-9251-4439-b33b-f86bff507dcd,55,uds,rare
Chime of Night,Urza's Destiny,1,FALSE,0.25,Common,56,1ec7c917-b254-4643-afc2-b6387f267469,56,uds,common
Cinder Seer,Urza's Destiny,1,FALSE,0.25,Uncommon,78,d96e7522-e0bc-4e23-8e4b-40a0c28ea986,78,uds,uncommon
Colos Yearling,Urza's Destiny,1,FALSE,0.24,Common,79,1d68eb62-9f86-4c85-8696-46a248c744ff,79,uds,common
Compost,Urza's Destiny,1,FALSE,1.49,Uncommon,102,91fc8eca-7549-45b5-b3db-89a58d7d2a4a,235,7ed,uncommon
Covetous Dragon,Urza's Destiny,1,FALSE,2.68,Rare,80,c5f37e36-c004-4b89-a668-5cd984c59019,80,uds,rare
Disappear,Urza's Destiny,1,FALSE,0.25,Uncommon,30,bdf280f4-74a1-4e6f-aec6-1852f04204e4,30,uds,uncommon
Disease Carriers,Urza's Destiny,1,FALSE,0.25,Common,57,49125cfc-dbae-4543-9d2d-4cc78f45ce9a,57,uds,common
Dying Wail,Urza's Destiny,2,TRUE,1.11,Common,58,2a25a472-495e-4062-b66f-c37f148b494f,58,uds,common
Elvish Lookout,Urza's Destiny,1,FALSE,0.24,Common,103,d9a8a0e2-311a-4627-8a48-43df045c3112,103,uds,common
Emperor Crocodile,Urza's Destiny,1,FALSE,0.50,Rare,105,6c8c30e2-e751-4481-9a46-413c52bbff90,165,ema,common
Encroach,Urza's Destiny,1,FALSE,0.36,Uncommon,59,fbd48dac-0a1a-49c4-8daf-11972b990454,59,uds,uncommon
Eradicate,Urza's Destiny,1,FALSE,0.28,Uncommon,60,02d6e0e5-798c-4791-85fe-24d0838df8f4,65,bok,uncommon
Extruder,Urza's Destiny,1,FALSE,0.33,Uncommon,130,e94e53f0-cfca-4b40-9867-94ea771463cd,296,mh2,uncommon
False Prophet,Urza's Destiny,1,FALSE,1.00,Rare,6,f41a43ba-1867-4ce3-97fe-5ae67d3f36c3,13,cmd,rare
Fatigue,Urza's Destiny,1,FALSE,0.20,Common,32,660fb109-dd65-4410-99b9-a2a14f8ea202,32,uds,common
Fend Off,Urza's Destiny,1,FALSE,0.23,Common,7,a64d7a33-986d-45ad-8662-7bca80d3628d,7,uds,common
Festering Wound,Urza's Destiny,1,FALSE,0.45,Uncommon,61,927eed13-510b-4b06-811d-91a6a069cb8c,61,uds,uncommon
Field Surgeon,Urza's Destiny,1,FALSE,0.25,Common,8,bb830403-0832-47f7-b4b4-4f241f1b9112,8,uds,common
Flame Jet,Urza's Destiny,1,FALSE,0.23,Common,81,a511f9df-b53b-4fea-87cd-9f18f6833f92,81,uds,common
Fledgling Osprey,Urza's Destiny,1,FALSE,0.23,Common,33,8cd46bfa-ca09-422f-9891-db9399fa2d3a,33,uds,common
Flicker,Urza's Destiny,1,FALSE,5.60,Rare,9,f55e7ec5-6488-483f-8020-b48e1a951f09,9,uds,rare
Fodder Cannon,Urza's Destiny,1,FALSE,0.30,Uncommon,131,bde003e6-d674-42cd-9537-91928730e7dd,302,8ed,uncommon
Gamekeeper,Urza's Destiny,1,FALSE,0.31,Uncommon,106,1dba14c0-18c0-4ded-ae56-5a689106f1a1,162,dmr,uncommon
Goblin Berserker,Urza's Destiny,1,FALSE,0.25,Uncommon,82,a3c7635d-98b2-4505-9153-d7e9e53ea16d,82,uds,uncommon
Goblin Festival,Urza's Destiny,1,FALSE,0.94,Rare,83,ac067eb8-427f-4bfa-b392-0bb41ac8370e,83,uds,rare
Goblin Gardener,Urza's Destiny,1,FALSE,0.25,Common,84,9f5b02af-140e-404d-bf8a-6a706b323a13,188,7ed,common
Goblin Marshal,Urza's Destiny,1,FALSE,1.00,Rare,85,6a85b2f9-c12c-46dd-ae04-470ebf5ec6d9,85,uds,rare
Goblin Masons,Urza's Destiny,1,FALSE,0.25,Common,86,124070d9-c362-4053-a405-9438b1cfac02,86,uds,common
Goliath Beetle,Urza's Destiny,1,FALSE,0.24,Common,107,f83d8765-f654-4837-9b06-739610188415,107,uds,common
