Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
About Face,Urza's Legacy,1,FALSE,0.24,Common,73,85e71828-095b-4729-ab11-c6c39ba29aab,73,ulg,common
Angelic Curator,Urza's Legacy,1,FALSE,0.24,Common,1,332352c2-98f2-4eb8-b49a-026a39df227b,262,mh2,uncommon
Anthroplasm,Urza's Legacy,1,FALSE,0.48,Rare,25,089e2bc7-0063-47bf-8f66-48bed6eb046b,25,ulg,rare
Archivist,Urza's Legacy,1,FALSE,0.53,Rare,26,2f025c11-feeb-429b-9518-f24d70596601,60,9ed,rare
Aura Flux,Urza's Legacy,1,FALSE,0.28,Common,27,a6be1542-70b8-4e97-a951-100966dc46ce,27,ulg,common
Avalanche Riders,Urza's Legacy,1,FALSE,0.49,Uncommon,74,abb19b6b-4142-4b93-85ca-3f2d8b23b4e1,55,tsb,special
Beast of Burden,Urza's Legacy,1,FALSE,0.50,Rare,122,e1a19f6d-4fab-4be6-af9e-c66acc16e4f8,288,9ed,rare
Blessed Reversal,Urza's Legacy,1,FALSE,0.47,Rare,2,806d854b-a165-4d40-86d7-d6a0aa17ce18,7,8ed,rare
Bloated Toad,Urza's Legacy,1,FALSE,0.44,Uncommon,97,9686f1a8-035e-415e-9a06-933d6ce1cd5c,97,ulg,uncommon
Bone Shredder,Urza's Legacy,1,FALSE,0.30,Uncommon,49,7165a9ac-3f44-4d14-93bb-d4d4970ab41b,247,moc,uncommon
Bouncing Beebles,Urza's Legacy,1,FALSE,0.23,Common,28,8656bdd4-0c45-43f9-b2dc-d11a355ff747,28,ulg,common
Brink of Madness,Urza's Legacy,1,FALSE,0.50,Rare,50,ff5391d8-b546-4159-955e-16bb58052311,50,ulg,rare
Burst of Energy,Urza's Legacy,1,FALSE,0.24,Common,3,43d590d2-cfa3-43d1-9e65-bc68b5a2a3ee,3,ulg,common
Cessation,Urza's Legacy,1,FALSE,0.25,Common,4,3a113f0c-8249-427b-979b-10898ec66a3a,4,ulg,common
Crawlspace,Urza's Legacy,1,FALSE,5.76,Rare,123,5b8e092a-610d-4cea-bb92-65e01954b5c4,217,dmr,rare
Crop Rotation,Urza's Legacy,1,FALSE,2.78,Common,98,523414cb-f8db-407a-808a-01454e03d8b9,154,dmr,uncommon
Damping Engine,Urza's Legacy,1,FALSE,0.71,Rare,124,87841977-75ff-49c3-b832-3f0cf48b50b2,124,ulg,rare
Darkwatch Elves,Urza's Legacy,1,FALSE,0.25,Uncommon,99,212a807f-d5d0-4787-b390-3351783a1ae4,99,ulg,uncommon
Defender of Chaos,Urza's Legacy,1,FALSE,0.20,Common,75,717ae26a-e5a0-4478-9995-00ea6bd84c03,75,ulg,common
Defender of Law,Urza's Legacy,1,FALSE,0.20,Common,5,9c8e8719-8c33-429d-8b95-b7f813888850,5,ulg,common
Defense Grid,Urza's Legacy,1,FALSE,7.69,Rare,125,f939dac5-ad71-4163-adde-4f435412477c,293,9ed,rare
Delusions of Mediocrity,Urza's Legacy,1,FALSE,0.75,Rare,30,ab43fba7-699e-4bb5-ab3e-b5b1c290340c,70,7ed,rare
Deranged Hermit,Urza's Legacy,1,FALSE,64.57,Rare,101,c25df202-0dd4-448d-8cb3-11fd7df0d505,202,vma,rare
Devout Harpist,Urza's Legacy,1,FALSE,0.24,Common,6,985b5c60-8a5e-4473-ba43-583aef50f19e,6,ulg,common
Engineered Plague,Urza's Legacy,1,FALSE,0.79,Uncommon,51,b669e43e-3b11-42c9-8f20-0acce129e63c,133,7ed,uncommon
Erase,Urza's Legacy,1,FALSE,0.23,Common,7,d1dd0e10-2ad7-467f-8d4b-c70b95bf2e9c,9,ktk,common
Eviscerator,Urza's Legacy,1,FALSE,0.47,Rare,52,167e7f67-8d44-4134-b7b9-54ccdfb8675c,52,ulg,rare
Expendable Troops,Urza's Legacy,1,FALSE,0.20,Common,8,f31d7d1b-a219-4653-be99-a885bc9b2e2f,8,ulg,common
Faerie Conclave,Urza's Legacy,1,FALSE,1.00,Uncommon,139,8f4ab639-b439-462e-acc3-69b5d6bb29da,248,cma,uncommon
Fleeting Image,Urza's Legacy,1,FALSE,0.45,Rare,31,564b8cc4-3392-4307-a5e4-5f04e52da3ab,78,9ed,rare
Fog of Gnats,Urza's Legacy,1,FALSE,0.23,Common,53,3f1e9c54-134b-41da-8c3d-ec699d96778a,53,ulg,common
Forbidding Watchtower,Urza's Legacy,1,FALSE,0.46,Uncommon,140,ac2d2959-6d31-4547-8c04-c19009c94434,39,td2,uncommon
Frantic Search,Urza's Legacy,1,FALSE,0.82,Common,32,0eb00e3c-b67a-44c7-ae61-23ecf4d4971a,96,cmm,common
Gang of Elk,Urza's Legacy,1,FALSE,0.25,Uncommon,102,cd0a61c9-8b14-4255-8453-4b74d90fe0a3,247,7ed,uncommon
Ghitu Encampment,Urza's Legacy,1,FALSE,0.33,Uncommon,141,b6af3085-a24c-4a76-b4c0-a27a50993f1c,33,ddn,uncommon
Ghitu Fire-Eater,Urza's Legacy,1,FALSE,0.25,Uncommon,76,0770cc34-0f38-4773-8633-6907f44436c4,184,7ed,uncommon
Ghitu Slinger,Urza's Legacy,1,FALSE,0.23,Common,77,923de31f-0941-4df1-8939-3eed75b7eb39,133,ema,uncommon
Ghitu War Cry,Urza's Legacy,1,FALSE,0.25,Uncommon,78,c9786c4f-f09b-46ce-966c-10efb1e5e609,78,ulg,uncommon
Giant Cockroach,Urza's Legacy,1,FALSE,0.23,Common,54,25ca0c01-2e9f-4f1c-9078-f7a68559296d,133,9ed,common
Goblin Medics,Urza's Legacy,1,FALSE,0.20,Common,79,deda9adf-43db-481b-840d-518a12873782,283,moc,common
Goblin Welder,Urza's Legacy,1,FALSE,21.93,Rare,80,17cd920a-de09-454a-a9da-c84512e3aff1,101,cm2,rare
Granite Grip,Urza's Legacy,1,FALSE,0.25,Common,81,908c8414-5eff-4887-9007-43050058c2d0,195,7ed,common
Grim Monolith,Urza's Legacy,1,FALSE,299.84,Rare,126,9ddc9fe1-17c8-4e1d-aeb8-c4214e881280,126,ulg,rare
Harmonic Convergence,Urza's Legacy,1,FALSE,0.30,Uncommon,103,5aafc380-cf4d-4843-b9c3-c389d9c5e942,103,ulg,uncommon
Hidden Gibbons,Urza's Legacy,1,FALSE,3.27,Rare,104,8f94da51-b4d9-4d79-9113-39f8f4a1be34,104,ulg,rare
Hope and Glory,Urza's Legacy,1,FALSE,0.25,Uncommon,9,7cc6478f-4ae5-4f26-baa9-b28e992f962e,9,ulg,uncommon
Impending Disaster,Urza's Legacy,1,FALSE,1.04,Rare,82,44497303-9686-4810-bf0f-876dd9696cab,82,ulg,rare
Intervene,Urza's Legacy,1,FALSE,0.25,Common,33,4b0e3894-5dfe-4d03-9996-eebf96c58168,33,ulg,common
Iron Maiden,Urza's Legacy,1,FALSE,7.11,Rare,127,ad925fb0-1d5c-44a0-8347-202a38c23107,127,ulg,rare
Iron Will,Urza's Legacy,1,FALSE,0.20,Common,10,bee0ee84-6c22-4649-b621-e3fdb08bbe45,10,ulg,common
Jhoira's Toolbox,Urza's Legacy,1,FALSE,0.34,Uncommon,128,edb38309-c02c-496c-894f-786a2f6e3d1c,128,ulg,uncommon
King Crab,Urza's Legacy,1,FALSE,0.30,Uncommon,34,aedea953-b5f1-4ec7-bd9f-b7827f9d40fe,34,ulg,uncommon
Knighthood,Urza's Legacy,1,FALSE,0.33,Uncommon,12,1da88c0a-255d-4484-b464-bd742d66e3fe,25,7ed,uncommon
Last-Ditch Effort,Urza's Legacy,1,FALSE,1.50,Uncommon,83,295f7fe0-0681-4b25-807f-30ed70ec78d5,83,ulg,uncommon
Lava Axe,Urza's Legacy,1,FALSE,0.23,Common,84,c3dab325-8f4f-4288-9f3f-960e52b4335b,150,m19,common
Levitation,Urza's Legacy,1,FALSE,0.39,Uncommon,35,63e5124a-67c0-44ed-8085-28bf37816423,61,m12,uncommon
Lone Wolf,Urza's Legacy,1,FALSE,0.25,Uncommon,105,309d32e9-c9b0-46bb-8d99-1ddd2e34a60b,262,8ed,common
Lurking Skirge,Urza's Legacy,1,FALSE,0.47,Rare,55,9063cc12-a822-4488-856e-93d70ecfe37f,55,ulg,rare
Martyr's Cause,Urza's Legacy,1,FALSE,1.21,Uncommon,13,4c1f026b-8c7f-4051-9922-5684a6b2c06b,13,ulg,uncommon
Memory Jar,Urza's Legacy,1,FALSE,34.19,Rare,129,60b70b7f-6f24-4c00-947a-b109f302205b,276,vma,mythic
Might of Oaks,Urza's Legacy,1,FALSE,2.98,Rare,106,438a324b-cf3e-4a0f-95c4-cd548586f7e5,192,m10,rare
Molten Hydra,Urza's Legacy,1,FALSE,0.54,Rare,85,95234b29-9ac8-4200-b42d-9653ba51b010,85,ulg,rare
"Multani, Maro-Sorcerer",Urza's Legacy,1,FALSE,5.42,Rare,107,0d6cc98b-b376-40af-8308-198bab00b2b1,107,ulg,rare
Multani's Acolyte,Urza's Legacy,1,FALSE,0.25,Common,108,4e5fdecb-bca0-48ea-b5bb-d0886c7d3316,108,ulg,common
Multani's Presence,Urza's Legacy,1,FALSE,0.39,Uncommon,109,38bfa984-5fe9-44ad-b13f-3276951f9f10,109,ulg,uncommon
Opal Avenger,Urza's Legacy,1,FALSE,0.45,Rare,15,f9337bbe-e092-469d-8122-77f92e233306,15,ulg,rare
Opal Champion,Urza's Legacy,1,FALSE,0.20,Common,16,2699cf3b-df54-4c77-ba19-3bc7598ae3fa,16,ulg,common
Opportunity,Urza's Legacy,1,FALSE,0.25,Uncommon,37,49233196-82e4-44c4-86f0-6eb2db7293a3,126,bbd,uncommon
Ostracize,Urza's Legacy,1,FALSE,0.25,Common,57,abdaffcc-59f6-4489-88bf-1061ad6b0512,153,7ed,common
Parch,Urza's Legacy,1,FALSE,0.24,Common,86,d3ab8065-cecc-4b19-be93-7cf791a93e62,86,ulg,common
Peace and Quiet,Urza's Legacy,1,FALSE,0.25,Uncommon,17,5d73accc-8f19-44d4-8216-c1acdbef3856,17,ulg,uncommon
Phyrexian Broodlings,Urza's Legacy,1,FALSE,0.22,Common,58,edf4c9e1-eff6-4abc-ad4e-ffd7f1895d8d,263,jmp,common
Phyrexian Debaser,Urza's Legacy,1,FALSE,0.20,Common,59,f3e2c6ac-455e-4d99-983b-1b154fd8bb24,97,dmr,common
Phyrexian Defiler,Urza's Legacy,1,FALSE,0.25,Uncommon,60,6a4a7dcf-b624-4462-859f-e7b2c4ab02ce,133,vma,uncommon
Phyrexian Denouncer,Urza's Legacy,1,FALSE,0.25,Common,61,1444786c-fb9f-4398-b442-c7cfd6f1df40,4,dde,common
Phyrexian Plaguelord,Urza's Legacy,1,FALSE,0.50,Rare,62,d0894a99-13e0-406c-8ca3-5552c64e3154,61,cma,rare
Plague Beetle,Urza's Legacy,1,FALSE,0.25,Common,64,8f5d3dac-98df-433f-a417-bcb9c91722fb,168,10e,common
