Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Absolute Grace,Urza's Saga,1,FALSE,0.49,Uncommon,1,fe7d1839-7180-4b4c-8ddb-7df24573f740,1,usg,uncommon
Absolute Law,Urza's Saga,1,FALSE,0.50,Uncommon,2,59d1f05b-f165-47c7-8a78-3b60ee3298ca,2,usg,uncommon
Abyssal Horror,Urza's Saga,1,FALSE,0.50,Rare,115,ccb42943-f599-4068-a364-a023e70c4ed2,115,7ed,rare
Academy Researchers,Urza's Saga,1,FALSE,0.31,Uncommon,58,b62ca800-ec24-476e-b56f-834eef9622a9,63,10e,uncommon
Acidic Soil,Urza's Saga,1,FALSE,1.49,Uncommon,172,790157c9-b1ed-4da5-9d50-e99e0dd807b7,172,usg,uncommon
Acridian,Urza's Saga,1,FALSE,0.21,Common,230,05d5a38f-5a60-46da-af1c-440e4bf7fe9e,230,usg,common
Albino Troll,Urza's Saga,1,FALSE,0.33,Uncommon,231,114fefca-8472-4c09-ae61-75d300d6e681,3,gvl,uncommon
Anaconda,Urza's Saga,1,FALSE,0.25,Uncommon,232,9f57f8bf-228b-4da2-823c-67bce8b574cd,229,9ed,uncommon
Angelic Page,Urza's Saga,1,FALSE,0.23,Common,4,ddf5db14-f2aa-4088-9894-7bd3a56dfe1e,88,jmp,common
Annul,Urza's Saga,1,FALSE,0.52,Common,59,4b1d4a59-11a0-4a55-8ac0-07377a9e6dc8,42,khm,common
Antagonism,Urza's Saga,1,FALSE,0.48,Rare,173,6b9db511-089e-413f-8005-ccb05ec3b06e,173,usg,rare
Arc Lightning,Urza's Saga,1,FALSE,0.20,Common,174,6aead49f-d0d0-459a-8273-a9159f5e1b2b,97y,ktk,uncommon
Arcane Laboratory,Urza's Saga,1,FALSE,1.83,Uncommon,60,f9e3bcd7-60f8-472a-ada0-c3147cf06588,60,7ed,uncommon
Argothian Elder,Urza's Saga,1,FALSE,0.99,Uncommon,233,453e7cb4-bc37-4932-85b7-3a4e160b73dc,233,usg,uncommon
Argothian Swine,Urza's Saga,1,FALSE,0.22,Common,235,afe5e4ec-9c0e-4b1a-b3c6-e9631cf214eb,235,usg,common
Argothian Wurm,Urza's Saga,1,FALSE,2.50,Rare,236,93294349-75ae-4a6b-896d-b403a5d69e98,236,usg,rare
Attunement,Urza's Saga,1,FALSE,6.33,Rare,61,f6723528-8b2c-4beb-a465-800300faf158,61,usg,rare
Back to Basics,Urza's Saga,1,FALSE,14.40,Rare,62,0600d6c2-0f72-4e79-a55d-1f06dffa48c2,46,uma,rare
"Barrin, Master Wizard",Urza's Saga,1,FALSE,10.47,Rare,63,ec79e35f-9e78-462d-8b71-4f044e2eff90,63,usg,rare
Barrin's Codex,Urza's Saga,1,FALSE,0.50,Rare,286,9951b225-f11e-41bd-ab6e-e1fda957dff3,286,usg,rare
Bedlam,Urza's Saga,1,FALSE,10.02,Rare,175,2788ec1a-930e-4a19-ad69-ea456c1390fd,174,7ed,rare
Befoul,Urza's Saga,1,FALSE,0.24,Common,116,2dfff5d3-1433-4a24-83e6-6361a446b974,102,chk,common
Bereavement,Urza's Saga,1,FALSE,0.29,Uncommon,117,ce20daf7-9cdd-4694-8ed4-4c5dc9f9e7b3,120,7ed,uncommon
Blanchwood Armor,Urza's Saga,1,FALSE,0.40,Uncommon,237,1fd7ec1a-dafa-42ca-bc25-f6848fb03f60,213,fdn,uncommon
Blanchwood Treefolk,Urza's Saga,1,FALSE,0.24,Common,238,f824502c-d712-41af-ba44-33e8294c3735,238,usg,common
Blasted Landscape,Urza's Saga,1,FALSE,1.77,Uncommon,319,55776293-fde5-481e-a069-31721866a7d7,238,cm2,uncommon
Blood Vassal,Urza's Saga,1,FALSE,0.25,Common,118,7e692dea-750b-40b2-9440-8b570e67c23e,118,usg,common
Bog Raiders,Urza's Saga,1,FALSE,0.24,Common,119,2a493521-810e-4932-bb44-16c80c3066c9,86,m11,common
Brand,Urza's Saga,1,FALSE,2.56,Rare,176,bafbd034-c8a0-4798-a680-555c13bdd251,176,usg,rare
Bravado,Urza's Saga,1,FALSE,0.25,Common,177,019ba422-4837-400c-a913-b56d87b49e26,177,usg,common
Breach,Urza's Saga,1,FALSE,0.24,Common,120,eada28cb-92bf-47e0-b09d-4709be32dbe6,120,usg,common
Brilliant Halo,Urza's Saga,1,FALSE,0.25,Common,5,6cef6912-eba8-429a-9936-c91c1d42a30a,19,vma,common
Bull Hippo,Urza's Saga,1,FALSE,0.25,Uncommon,239,044785ad-0f05-4944-aab3-49236727078d,233,7ed,uncommon
Bulwark,Urza's Saga,1,FALSE,0.50,Rare,178,a2041b95-ec5b-4512-b012-f875ca686669,178,usg,rare
Cackling Fiend,Urza's Saga,1,FALSE,0.25,Common,121,c7e4fa7f-a5d7-46cd-bc46-d3d231235460,76,dmr,common
