Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aku Djinn,Visions,1,FALSE,1.48,Rare,,369a5df5-fc36-476c-84f4-ec4bdeb4f9d2,51,vis,rare
Anvil of Bogardan,Visions,1,FALSE,34.19,Rare,,7ff965dd-54b4-4f21-a52f-81c0dd1e691e,141,vis,rare
Army Ants,Visions,1,FALSE,0.35,Uncommon,,7e129be5-e2c5-4f69-b8e8-539ac2085c7a,126,vis,uncommon
Betrayal,Visions,1,FALSE,0.28,Common,,7f9b5c75-882e-4fe4-827f-584080e91485,26,vis,common
Brass-Talon Chimera,Visions,1,FALSE,0.25,Uncommon,,200c9655-e51c-4b63-96cf-7f3fba3ec75c,142,vis,uncommon
Breezekeeper,Visions,1,FALSE,0.20,Common,,beaefa77-6e4a-4724-a443-fa6b45803db5,27,vis,common
Brood of Cockroaches,Visions,1,FALSE,0.35,Uncommon,,30b6150e-7d0c-4361-b99b-79de96dfc53a,53,vis,uncommon
Bull Elephant,Visions,1,FALSE,0.24,Common,,fa7f5f41-ed30-412b-b51e-37d26e9e6455,101,vis,common
Cloud Elemental,Visions,1,FALSE,0.22,Common,,3639ad50-6e39-48bd-9055-c32369d2f676,42,mm2,common
Coercion,Visions,1,FALSE,0.24,Common,,8c0459ca-1646-46a0-9fc2-709b321bb41f,86,tpr,common
Coral Atoll,Visions,1,FALSE,0.55,Uncommon,,77e3ea71-ea9f-4bbf-93cb-0f6339f8a3ab,480,cmr,uncommon
Creeping Mold,Visions,1,FALSE,0.30,Uncommon,,277b549c-8691-42b2-9867-802b158a506c,150,kld,uncommon
Daraja Griffin,Visions,1,FALSE,0.26,Uncommon,,0795a1d6-9caf-472a-a349-fca97bccf8e2,14,6ed,uncommon
Dark Privilege,Visions,1,FALSE,0.37,Common,,10d2cf44-cc20-4a37-81ae-930f8c6d0896,56,vis,common
Death Watch,Visions,1,FALSE,0.25,Common,,0e939d8f-6989-4884-989b-9cba566c9963,57,vis,common
Desertion,Visions,1,FALSE,3.30,Rare,,b362151e-4ad6-4ae9-91e5-0e4a69d53ca5,107,cn2,rare
Desolation,Visions,1,FALSE,0.99,Uncommon,,3b186460-d2af-4912-ba19-95b2cb5f1639,58,vis,uncommon
Dormant Volcano,Visions,3,FALSE,0.58,Uncommon,,83f90da4-9b01-431d-83b1-f54c132efec1,246,cm2,uncommon
Dragon Mask,Visions,1,FALSE,0.25,Uncommon,,b5109270-b052-489c-951c-d4b21a41ff6f,283,6ed,uncommon
Dream Tides,Visions,1,FALSE,0.50,Uncommon,,3bd292a0-ec08-4250-8d75-0802e985d6e6,31,vis,uncommon
Dwarven Vigilantes,Visions,1,FALSE,0.24,Common,,077d33bb-41bf-440d-939b-67ab5aacb092,77,vis,common
Elven Cache,Visions,1,FALSE,0.22,Common,,10d3d239-1e16-4a23-9098-ee67d32e0208,224,6ed,common
Emerald Charm,Visions,1,FALSE,0.25,Common,,b5862e38-b48b-45e1-b0f6-d1d0d1124e50,158,dmr,common
Equipoise,Visions,1,FALSE,2.59,Rare,,53783312-3551-4361-ab02-c9651ce2a926,3,vis,rare
Everglades,Visions,1,FALSE,1.00,Uncommon,,5f82ffe7-c5a2-453d-9820-3c576b6f263c,294,c14,uncommon
Eye of Singularity,Visions,1,FALSE,1.25,Rare,,fa84e4ad-738a-4d23-a84c-06c39ff4200b,4,vis,rare
Fallen Askari,Visions,1,FALSE,0.23,Common,,a99c4859-038b-4dd0-80d0-28a881f4a564,119,vma,common
Feral Instinct,Visions,1,FALSE,0.21,Common,,20dec7cf-2865-4642-9022-d3006fd7ac30,107,vis,common
Firestorm Hellkite,Visions,1,FALSE,0.98,Rare,,def23574-4a41-4323-84d9-49f58b2ca322,130,vis,rare
Flooded Shoreline,Visions,1,FALSE,1.05,Rare,,49db9f58-380f-496e-9d3d-6776d30fb564,32,vis,rare
Freewind Falcon,Visions,1,FALSE,0.43,Common,,33dc0244-319c-4e15-9083-8d21ad0364d8,5,vis,common
Funeral Charm,Visions,1,FALSE,0.39,Common,,6fc44e66-7ff8-4fcd-9f98-e53707590d67,44,tsb,special
Giant Caterpillar,Visions,1,FALSE,0.23,Common,,bdc5eb8a-4531-4408-90fe-9b352d71a052,249,mmq,common
Goblin Swine-Rider,Visions,1,FALSE,0.25,Common,,49980982-d534-4204-bc15-3e6c4ffa1a53,81,vis,common
Gossamer Chains,Visions,1,FALSE,0.25,Common,,e9917a29-c6b4-4e0a-a301-21868bd27e17,6,vis,common
Griffin Canyon,Visions,1,FALSE,13.99,Rare,,705d8194-3ad0-41b7-ae32-9c0cd8cd46b9,163,vis,rare
Hearth Charm,Visions,1,FALSE,0.25,Common,,caa9ac66-51b7-4aec-92dc-0f0656b0f7fe,82,vis,common
Heat Wave,Visions,1,FALSE,0.26,Uncommon,,42dd0810-4528-4a88-add8-923bb2057821,83,vis,uncommon
Honorable Passage,Visions,1,FALSE,0.26,Uncommon,,b07d20d7-4fdc-4104-9a9f-5fd2d3aa7b66,9,tsb,special
Hope Charm,Visions,1,FALSE,0.20,Common,,a1a8980f-07ab-49b7-b83d-f394952ced57,8,vis,common
Hulking Cyclops,Visions,1,FALSE,0.25,Uncommon,,dc1a5428-9bb4-4e2b-ba94-fccd321ce537,195,8ed,uncommon
Impulse,Visions,1,FALSE,0.60,Common,,3ec50625-5e14-4fd0-9a96-86f195342695,56,dmr,common
Infantry Veteran,Visions,1,FALSE,0.21,Common,,ec4b0fd0-045d-4a96-9a57-c7ba1548b4cd,24,ima,common
Infernal Harvest,Visions,1,FALSE,0.24,Common,,ccf85ac9-f5d8-4a36-aa6c-3a31427a0348,62,vis,common
Inspiration,Visions,1,FALSE,0.23,Common,,95233b5e-9401-4d6d-8ec4-959ca22270ff,10,w17,common
Iron-Heart Chimera,Visions,1,FALSE,0.25,Uncommon,,5899a575-a97d-4850-b55c-22ad6900ba20,146,vis,uncommon
Jamuraan Lion,Visions,1,FALSE,0.24,Common,,bfc681f5-9fff-48b6-98d9-e85c85e582a3,10,vis,common
Juju Bubble,Visions,1,FALSE,0.33,Uncommon,,a5fa8208-7d65-4f8f-b07e-f5c3a66e1143,147,vis,uncommon
Jungle Basin,Visions,1,FALSE,0.48,Uncommon,,d4929e39-fccc-450b-bb18-f5ad56a397bd,484,cmr,uncommon
Keeper of Kookus,Visions,1,FALSE,0.22,Common,,d11b6df4-449f-44ea-a4fa-f079bcd26a54,85,vis,common
King Cheetah,Visions,1,FALSE,0.23,Common,,82fc34b5-7558-41b1-97e4-1ee13527dec4,250,9ed,uncommon
Knight of the Mists,Visions,1,FALSE,0.22,Common,,37924cbc-fb9d-4906-9ad2-9b6d4ccfff0f,36,vis,common
Knight of Valor,Visions,1,FALSE,0.24,Common,,25aa80ae-bb17-4e52-a269-efe75cf4c041,11,vis,common
Kyscu Drake,Visions,1,FALSE,0.26,Uncommon,,b6f14bbe-2436-4a5a-8e2a-8066b740b715,111,vis,uncommon
Lead-Belly Chimera,Visions,1,FALSE,0.25,Uncommon,,5d89b377-80d2-42a0-b84e-a455a72ed9fe,148,vis,uncommon
Lightning Cloud,Visions,1,FALSE,0.86,Rare,,7fcfc2ad-a1a4-4f65-a239-f11383aaafe1,87,vis,rare
Longbow Archer,Visions,1,FALSE,0.33,Uncommon,,8ac3672e-ebab-4bb1-bf4d-5020047296d8,26,7ed,uncommon
Magma Mine,Visions,1,FALSE,0.30,Uncommon,,1aecc3df-7ce6-419c-b3d6-60fc28bfe941,149,vis,uncommon
Man-o'-War,Visions,1,FALSE,0.25,Common,,a1ef40d5-c287-4229-8059-3505d9f251ca,58,dmr,common
Matopi Golem,Visions,1,FALSE,0.25,Uncommon,,92378d6f-89ee-49dc-8964-0e9c55daeffc,150,vis,uncommon
Miraculous Recovery,Visions,1,FALSE,0.33,Uncommon,,2b3459d9-a667-4cee-9b39-844013576d0b,26,uma,uncommon
Mob Mentality,Visions,1,FALSE,0.32,Uncommon,,e428d56a-9445-4e86-b281-656e2d251e0b,88,vis,uncommon
Mortal Wound,Visions,1,FALSE,0.20,Common,,808830ff-496a-41dc-8b64-334ddaca9435,113,vis,common
Mundungu,Visions,1,FALSE,0.32,Uncommon,,d6e320ca-848b-4743-93f1-ec04ef1ce402,132,vis,uncommon
Mystic Veil,Visions,1,FALSE,0.21,Common,,7ddb640d-5c54-4d0a-b8c2-e22fe04f96c2,38,vis,common
Nekrataal,Visions,1,FALSE,0.37,Uncommon,,5b3a4f2a-57ea-4fa0-a76f-3e215a36d1f4,99,ema,uncommon
Ogre Enforcer,Visions,1,FALSE,0.50,Rare,,b0f072d6-7489-4eb0-8c53-1fa42ad806a4,89,vis,rare
Panther Warriors,Visions,1,FALSE,0.25,Common,,ba165e25-5328-40f4-b87c-9d02590f9d38,243,6ed,common
Parapet,Visions,1,FALSE,0.22,Common,,a7bbcaa9-edbf-48ad-bcd2-65e8fb9bb938,14,vis,common
Peace Talks,Visions,1,FALSE,0.29,Uncommon,,21da279d-a723-4902-bf84-dfe2c569d4c8,15,vis,uncommon
Pillar Tombs of Aku,Visions,1,FALSE,1.10,Rare,,153f93fd-4f2c-4dce-a774-4483031ed532,67,vis,rare
Python,Visions,1,FALSE,0.24,Common,,84fbe194-1d9b-4d3f-b7a0-aa058945aca1,150,6ed,common
Quicksand,Visions,1,FALSE,0.42,Uncommon,,ce833a90-7c1d-4c05-ace3-57e974c0769b,245,a25,uncommon
Quirion Ranger,Visions,1,FALSE,0.73,Common,,320fdf89-e158-41c5-b0bf-fee9dec36a75,285,mh2,uncommon
Raging Gorilla,Visions,1,FALSE,0.25,Common,,07c284ce-33b8-4fb2-9dd9-4c477bedc774,90,vis,common
Relic Ward,Visions,1,FALSE,0.25,Uncommon,,f0459667-b7da-43bd-b981-0e515432d147,16,vis,uncommon
Remedy,Visions,1,FALSE,0.20,Common,,9700fe0e-bf71-463b-ad7b-34831c7f9e99,22,dmr,common
Resistance Fighter,Visions,1,FALSE,0.20,Common,,1abf09d8-f972-4b81-80e9-70fb4a33ed56,38,6ed,common
Righteous Aura,Visions,1,FALSE,0.28,Common,,66d3bcb4-6cbd-4144-a95d-f61e68c10296,45,mmq,uncommon
Righteous War,Visions,1,FALSE,2.09,Rare,,bbcacb8e-1aff-4807-b70c-a17d6703d279,134,vis,rare
River Boa,Visions,1,FALSE,0.25,Common,,edfbf056-c3b7-40e9-8e2b-333585978ac9,49,ddm,uncommon
Rock Slide,Visions,1,FALSE,0.24,Common,,7e01717a-d6ed-42c1-9a9a-f3f4a3d73bca,92,vis,common
Sands of Time,Visions,1,FALSE,2.72,Rare,,a782ee95-bde4-41f4-a947-b073cc4c1e7c,153,vis,rare
Scalebane's Elite,Visions,1,FALSE,0.25,Uncommon,,b3bff610-783a-46b7-bd15-061da41027bb,135,vis,uncommon
Simoon,Visions,1,FALSE,0.30,Uncommon,,84b1930d-2e4b-472f-98a9-008fd632f3be,272,inv,uncommon
Sisay's Ring,Visions,1,FALSE,0.25,Common,,20c0e608-0208-408a-b473-1e54caa96cea,340,cmr,common
Snake Basket,Visions,1,FALSE,1.69,Rare,,3a9bc174-1d10-49bf-af4f-2f6061b1796e,312,6ed,rare
Solfatara,Visions,1,FALSE,0.24,Common,,c5d4bd6f-b019-4594-aa41-138fa58ba529,93,vis,common
Song of Blood,Visions,1,FALSE,0.23,Common,,4497a1d7-6604-4f2d-9484-1f1d77a6228f,94,vis,common
Spider Climb,Visions,1,FALSE,0.22,Common,,a1818812-4cb8-4fe1-98c0-b40086b4991c,120,vis,common
Spitting Drake,Visions,1,FALSE,0.28,Uncommon,,c9ec1676-f59b-4ab6-995c-d2525ac11370,207,6ed,uncommon
Sun Clasp,Visions,1,FALSE,0.20,Common,,49e33908-cf4f-45b4-8d97-a117308187f7,30,dmr,common
Suq'Ata Lancer,Visions,1,FALSE,0.22,Common,,c9cd519a-c6f4-47a8-b773-a058e50e4440,145,dmr,common
Talruum Champion,Visions,1,FALSE,0.22,Common,,33730a07-754c-4606-bfac-d73454af9567,97,vis,common
Talruum Piper,Visions,1,FALSE,0.25,Uncommon,,ca2cb9a7-5063-4b31-9782-8bfd784bca0a,98,vis,uncommon
Tar Pit Warrior,Visions,1,FALSE,0.22,Common,,e1283190-094e-4a9f-bf67-f9fd05778744,70,vis,common
Teferi's Honor Guard,Visions,1,FALSE,0.25,Uncommon,,4177d5bf-db48-4bbf-bbd4-ee6313031920,22,vis,uncommon
Teferi's Realm,Visions,1,FALSE,1.84,Rare,,aba3e4ea-2241-4f1e-a46b-70f512fe729e,44,vis,rare
Tempest Drake,Visions,1,FALSE,0.25,Uncommon,,54aa5262-d0d9-4b4a-8027-00393568b3df,139,vis,uncommon
Time and Tide,Visions,1,FALSE,0.25,Uncommon,,152b348a-0301-4d45-a2c1-d78802c445ba,46,vis,uncommon
Tin-Wing Chimera,Visions,1,FALSE,0.28,Uncommon,,3375dcc6-9399-48eb-9aa4-7b40c3686cc5,157,vis,uncommon
Tremor,Visions,1,FALSE,0.20,Common,,7d47f27d-5a25-4d2a-b2a2-027b579b881b,228,8ed,common
Triangle of War,Visions,1,FALSE,1.93,Rare,,f59f9255-8b76-43b6-9365-d41f9618c2c3,288,vma,uncommon
Undo,Visions,1,FALSE,0.20,Common,,12b944ea-add5-4806-a33e-264cc96a4a0e,58,s99,uncommon
Urborg Mindsucker,Visions,1,FALSE,0.20,Common,,78405864-fc83-47ab-9238-8e0464a700ec,71,vis,common
Vampirism,Visions,1,FALSE,0.25,Uncommon,,2dff2817-1813-410f-aca7-96e8f9f4ce81,73,vis,uncommon
Vanishing,Visions,1,FALSE,0.50,Common,,8d1fb805-1382-458c-b98d-4491f13833b6,48,vis,common
Viashino Sandstalker,Visions,1,FALSE,0.28,Uncommon,,1954d2eb-c1d0-4b99-a89c-357beb710055,225,9ed,uncommon
Viashivan Dragon,Visions,1,FALSE,1.34,Rare,,7172ef0b-ca9e-47cf-8ec6-2d8cb18f2283,140,vis,rare
Vision Charm,Visions,1,FALSE,0.71,Common,,78b384d3-3adf-493a-8b89-bfe68fd1c3e2,49,vis,common
Wake of Vultures,Visions,1,FALSE,0.23,Common,,0c23716e-453e-4686-a8dd-ca1d67ad577d,115,ema,common
Wand of Denial,Visions,1,FALSE,0.74,Rare,,f6f37dd8-87d6-432f-a60d-a7a699da3080,317,6ed,rare
Warrior's Honor,Visions,1,FALSE,0.20,Common,,09117d06-79e6-4f86-ba92-d1f8fe165147,58,10e,common
Warthog,Visions,1,FALSE,0.20,Common,,d65630c7-3813-404c-9919-0e46c557f7b8,267,6ed,uncommon
Wicked Reward,Visions,1,FALSE,0.20,Common,,ee32f8ba-3547-4913-a555-d43ee2978ba9,75,vis,common
Wind Shear,Visions,1,FALSE,0.25,Uncommon,,b8324f44-c7f5-41ee-bc8d-16822bd8942f,125,vis,uncommon
