Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Ahn-Crop Invader,War of the Spark,1,FALSE,0.14,Common,113,2dea2466-5c7f-40ce-b749-100ae89d2c90,113,war,common
Aid the Fallen,War of the Spark,1,FALSE,0.15,Common,76,5f8bc010-f1af-42a2-9009-2039cf3d8f0a,76,war,common
Ajani's Pridemate,War of the Spark,1,FALSE,0.24,Uncommon,4,222c1a68-e34c-4103-b1be-17d4ceaef6ce,135,fdn,uncommon
"Angrath, Captain of Chaos",War of the Spark,1,FALSE,0.25,Uncommon,227,aa3a4cb5-945e-4caf-8a18-1ef977879fe8,227,war,uncommon
Arboreal Grazer,War of the Spark,1,FALSE,0.25,Common,149,6d00ced6-7ba3-4d78-a680-9d3211704ca2,131,rvr,common
"Ashiok, Dream Render",War of the Spark,1,FALSE,1.34,Uncommon,228,f2df3258-c053-48a8-974f-d80899b2cd93,228,war,uncommon
Ashiok's Skulker,War of the Spark,1,FALSE,0.15,Common,40,7dd5b0a1-104d-4e0f-82de-65487fbf01ff,40,war,common
Augur of Bolas,War of the Spark,1,FALSE,0.25,Uncommon,41,d19fbfe6-69bb-452a-be3c-b9c625e23193,41,war,uncommon
Band Together,War of the Spark,1,FALSE,0.15,Common,153,d8e243d6-c888-410f-8de0-51761c925a59,156,clu,common
Banehound,War of the Spark,1,FALSE,0.20,Common,77,b9e03567-c95a-40b8-a75a-971076093f57,77,war,common
Battlefield Promotion,War of the Spark,1,FALSE,0.15,Common,5,4e4e3a08-05a6-4730-8b4a-a8cb440dc299,7,2x2,common
Blast Zone,War of the Spark,1,FALSE,0.49,Rare,244,cdad14f1-d541-4e58-af9f-f8e587fca05f,987,cmm,rare
Bleeding Edge,War of the Spark,1,FALSE,0.20,Uncommon,78,ac82422c-8ac8-4fbb-b9b9-d0aa23dded61,78,war,uncommon
Blindblast,War of the Spark,1,FALSE,0.15,Common,114,9feaa623-3422-4997-af7b-f75074af5fa1,295,jmp,common
Bloom Hulk,War of the Spark,1,FALSE,0.19,Common,154,fd1c9129-254d-4d1d-9d95-112292bd6bcc,154,war,common
Bond of Discipline,War of the Spark,1,FALSE,0.25,Uncommon,6,bb7c78bb-9f2a-47a4-adc4-b497bb38f46f,6,war,uncommon
Bond of Flourishing,War of the Spark,1,FALSE,0.19,Uncommon,155,df901fdc-8672-44f5-ade5-7c4e0b5c5d81,155,war,uncommon
Bond of Insight,War of the Spark,1,FALSE,0.25,Uncommon,43,648629af-e911-49e1-b564-c98f339b84a1,43,war,uncommon
Bond of Passion,War of the Spark,1,FALSE,0.20,Uncommon,116,ae644e9d-9bc4-4ccd-aef4-3d0559948aa6,116,war,uncommon
Bulwark Giant,War of the Spark,1,FALSE,0.15,Common,7,ebf3a622-6aad-4d74-8098-ffbf21555956,11,rvr,common
Burning Prophet,War of the Spark,1,FALSE,0.17,Common,117,fdc5436b-9655-4fd4-bb1e-9d6a30dfeb81,104,rvr,common
Callous Dismissal,War of the Spark,1,FALSE,0.19,Common,44,66cef326-339c-49e5-9905-21a1603a46ae,44,war,common
Centaur Nurturer,War of the Spark,1,FALSE,0.15,Common,156,bf020acb-e0c6-43b4-8324-0f2ec68b73d6,156,war,common
Chainwhip Cyclops,War of the Spark,1,FALSE,0.15,Common,118,99489029-f1e0-4b6c-a300-95e940e01112,127,clu,common
