Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abduction,Weatherlight,1,FALSE,0.31,Uncommon,,63c82bef-50d6-4d25-bc3f-dda2826fc99c,55,6ed,uncommon
Abjure,Weatherlight,1,FALSE,1.00,Common,,fbad9449-d09c-4fd0-b2ad-2aa3a29e03bf,31,wth,common
Abyssal Gatekeeper,Weatherlight,1,FALSE,0.28,Common,,6d2a66f0-1afe-41e6-a597-ec2e95685191,31,dvd,common
Alabaster Dragon,Weatherlight,1,FALSE,0.79,Rare,,3a2fcc23-ac09-4ada-b194-424739c9c734,2,wth,rare
Alms,Weatherlight,1,FALSE,0.20,Common,,97382dd8-2754-4ca3-8ba8-d655acaf22ac,3,wth,common
Angelic Renewal,Weatherlight,1,FALSE,0.30,Common,,a03fc1f1-31f6-4e52-87d0-e3d18ea60d3b,10,uma,common
Apathy,Weatherlight,1,FALSE,0.24,Common,,adf3a6fe-e234-4c3f-96fc-3eb5eb22c0b8,33,wth,common
Arctic Wolves,Weatherlight,1,FALSE,0.25,Uncommon,,b5fb56a2-5138-4c31-aa4b-0824a1a24573,118,wth,uncommon
Ardent Militia,Weatherlight,1,FALSE,0.20,Common,,8c78d392-9f2f-4241-9a10-6ac9b1e86154,3,8ed,uncommon
Argivian Find,Weatherlight,1,FALSE,0.84,Uncommon,,89f23295-ad0a-4e2d-ae04-1a9c065e575d,6,wth,uncommon
Argivian Restoration,Weatherlight,1,FALSE,0.33,Uncommon,,3f14b3a6-5490-4a50-9449-542e23f1d6b1,42,2xm,common
Barishi,Weatherlight,1,FALSE,0.26,Uncommon,,f263eb80-f8f2-4b32-8e8b-a297de9f3666,119,wth,uncommon
Benalish Infantry,Weatherlight,1,FALSE,0.21,Common,,e8472303-b8ee-402b-a9ea-49abe2e01152,8,wth,common
Benalish Knight,Weatherlight,1,FALSE,0.24,Common,,d0ae60d0-20d3-452c-9953-e229567c06f5,11,10e,common
Benalish Missionary,Weatherlight,1,FALSE,0.24,Common,,e9ac1992-6212-4f05-af16-c892dfc40643,10,wth,common
Betrothed of Fire,Weatherlight,1,FALSE,0.25,Common,,5e517aa4-d8ba-4a49-bf9f-172bf029fa52,89,wth,common
Bloodrock Cyclops,Weatherlight,1,FALSE,0.24,Common,,128f37ff-eb63-4417-87c2-96a3a026fcf4,297,jmp,common
Blossoming Wreath,Weatherlight,1,FALSE,0.24,Common,,2f944ad9-c9ce-47b2-80fa-d0f7fcf0fd5d,120,wth,common
Bogardan Firefiend,Weatherlight,1,FALSE,0.24,Common,,6517a2ed-adbc-4f73-9bd9-dde739f3a3bd,48,hop,common
Boiling Blood,Weatherlight,1,FALSE,0.25,Common,,3fcb85b6-ab5a-40db-aaae-555315f32877,92,wth,common
Bone Dancer,Weatherlight,1,FALSE,3.54,Rare,,207bb4cd-4525-47e0-b412-0d0e29717d44,62,wth,rare
Briar Shield,Weatherlight,1,FALSE,0.25,Common,,68100ac2-9677-4eb5-93dc-54e49b15985d,121,wth,common
Buried Alive,Weatherlight,1,FALSE,4.78,Uncommon,,76878b19-2916-4f3f-bee5-20846bc9e2db,273,mh3,uncommon
Chimeric Sphere,Weatherlight,1,FALSE,0.27,Uncommon,,cc96857c-b38e-4614-9838-cacd3700e3ee,148,wth,uncommon
Choking Vines,Weatherlight,1,FALSE,0.24,Common,,6cc4a7ee-f6f0-454a-9074-5988fdee1f34,123,wth,common
Cinder Giant,Weatherlight,1,FALSE,0.42,Uncommon,,de97c939-2c44-4c43-9d66-1087bcee692b,93,wth,uncommon
Cinder Wall,Weatherlight,1,FALSE,0.20,Common,,4dfcc240-9010-4e0c-afda-7f70c42da7d2,140,cns,common
Cloud Djinn,Weatherlight,1,FALSE,0.25,Uncommon,,ba6f25f7-9db6-4c55-bbe0-f373941fa0c3,61,vma,uncommon
Coils of the Medusa,Weatherlight,1,FALSE,0.24,Common,,502bfb38-4a37-4053-af20-d5606ffc67c8,65,wth,common
Cone of Flame,Weatherlight,1,FALSE,0.25,Uncommon,,9b434a60-0875-47f4-a626-2c9bfa3c9b3b,12,w16,uncommon
Desperate Gambit,Weatherlight,1,FALSE,0.51,Uncommon,,f4245160-274e-4c39-9bcd-c64e9a44dfdb,96,wth,uncommon
Dingus Staff,Weatherlight,1,FALSE,1.08,Uncommon,,065b4358-5dee-4f13-bff9-8254bdb92069,149,wth,uncommon
Disrupt,Weatherlight,1,FALSE,0.28,Common,,c000a02f-6b7e-4925-a938-59e645e980d7,51,inv,uncommon
