Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Blind Obedience,Wilds of Eldraine: Enchanting Tales,1,FALSE,2.26,Rare,1,d859e1f9-feb3-497a-af0b-f74fee46861f,9,rvr,rare
Dawn of Hope,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.29,Rare,2,cf2a9e82-8670-4b7f-b5f0-8e10f8aeff1c,8,grn,rare
Grasp of Fate,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.24,Uncommon,3,43787574-7700-47ab-b57c-98ef968cce71,823,cmm,rare
Greater Auramancy,Wilds of Eldraine: Enchanting Tales,1,TRUE,11.33,Mythic Rare,4,1177787f-bf1e-438b-9615-97d03b04128c,7,shm,rare
Griffin Aerie,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.15,Uncommon,5,6ea1ee60-5644-4f78-913d-32c36065957f,22,m21,uncommon
Intangible Virtue,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.18,Uncommon,6,7d251846-7aa5-4318-a96b-fbd9daf691f9,31,cmm,uncommon
Karmic Justice,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.70,Rare,7,ea141e39-8124-4d72-a154-eb76e71be1dc,72,c15,rare
Knightly Valor,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.10,Uncommon,8,c0f20ca6-1a92-4be5-a84a-e7f8f0b7f648,14,2x2,common
Land Tax,Wilds of Eldraine: Enchanting Tales,1,TRUE,18.12,Mythic Rare,9,9258ad10-cbe6-4676-93b4-6ef4a33f12ee,37,cmm,mythic
Leyline of Sanctity,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.85,Rare,10,be8b1acf-dd87-42ca-ad19-c27d21066030,26,m20,rare
Phyrexian Unlife,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.43,Rare,11,b4a1e16a-39f0-47ab-aba8-73e82ba9ab18,18,nph,rare
Rest in Peace,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.55,Rare,12,9f2b39be-0fec-4647-ade1-8e1626dc5470,32,a25,rare
As Foretold,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.50,Rare,14,c468b523-84fc-4657-adef-acc1eec6ef2e,38,2x2,mythic
Compulsion,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.06,Uncommon,15,2d1f56e8-55cb-4b81-9946-9f0f813e3d4a,34,tor,uncommon
Copy Enchantment,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.50,Rare,16,ce82b316-8982-41bf-a990-6b776a9e83ac,39,rvr,rare
Curiosity,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.29,Uncommon,17,c5a0be10-c20f-4ac0-89a5-1770ecf48aad,147,jmp,uncommon
Forced Fruition,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.69,Rare,18,f7ea1c6e-c0af-40b0-b492-8d71f496903e,66,lrw,rare
Fraying Sanity,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.41,Rare,19,79e5c1ab-eebd-41ca-a1ca-29b00370f6e8,35,hou,rare
Hatching Plans,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.08,Uncommon,20,ef327629-9831-4a0c-bd61-7542b0713ea8,27,gpt,rare
Intruder Alarm,Wilds of Eldraine: Enchanting Tales,1,FALSE,1.76,Rare,21,8d62468e-ed9d-4932-bbbd-103b33b98b25,86,8ed,rare
Kindred Discovery,Wilds of Eldraine: Enchanting Tales,1,TRUE,10.37,Mythic Rare,22,8d264ad1-10a3-41ba-9740-48f2c07a0ec3,159,lcc,rare
Leyline of Anticipation,Wilds of Eldraine: Enchanting Tales,1,TRUE,4.60,Rare,23,f57bdaa1-ce8a-4103-8598-fee751e65a53,726,clb,rare
Omniscience,Wilds of Eldraine: Enchanting Tales,1,FALSE,8.43,Mythic Rare,24,d33d91d0-1506-45e4-9def-975bf901815e,161,fdn,mythic
Spreading Seas,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.12,Uncommon,26,37454c1c-4098-4ac2-884e-3f65f1384bdb,70,zen,common
Bitterblossom,Wilds of Eldraine: Enchanting Tales,1,TRUE,14.39,Mythic Rare,27,b9640cbf-b016-410e-9eff-e8924883517b,69,2x2,mythic
Dark Tutelage,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.09,Uncommon,28,9ec3dd9f-3969-4fd7-97f7-e9868eb19a64,90,m11,rare
Grave Pact,Wilds of Eldraine: Enchanting Tales,1,FALSE,13.20,Mythic Rare,29,f5a4970b-2ba6-4c91-a301-369369cdf360,165,cmm,mythic
Leyline of the Void,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.95,Rare,30,aeaa3aff-608d-4723-bb7c-8daedebe9f36,106,dsk,rare
Necropotence,Wilds of Eldraine: Enchanting Tales,1,FALSE,10.00,Mythic Rare,31,c89c6895-b0f8-444a-9c89-c6b4fd027b3e,98,ima,mythic
Oppression,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.69,Rare,32,ac327f80-983e-4e28-96e8-91ff5377f5a3,152,7ed,rare
Oversold Cemetery,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.94,Rare,33,06b7312a-c775-4fa8-ba62-c84ff38459e8,96,dmr,rare
Polluted Bonds,Wilds of Eldraine: Enchanting Tales,1,FALSE,2.10,Rare,34,c6439222-de30-44cd-a53f-a7de0cb00b8f,74,shm,rare
Sanguine Bond,Wilds of Eldraine: Enchanting Tales,1,FALSE,1.99,Rare,35,ad4de9f1-7a39-45af-828e-c59234d9e9b9,153,c21,rare
Stab Wound,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.11,Uncommon,36,cbe656e7-ae71-45c2-a263-588b73f70d73,93,rvr,uncommon
Vampiric Rites,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.18,Uncommon,37,9ae0b1e0-a481-4a98-b67b-0cf8bac53fdd,615,fdn,uncommon
Waste Not,Wilds of Eldraine: Enchanting Tales,1,FALSE,2.96,Rare,38,2f5500a2-c6d6-40d7-b586-59b854733160,117,c16,rare
Waste Not,Wilds of Eldraine: Enchanting Tales,1,TRUE,4.16,Rare,38,2f5500a2-c6d6-40d7-b586-59b854733160,117,c16,rare
Aggravated Assault,Wilds of Eldraine: Enchanting Tales,1,TRUE,9.15,Rare,39,c99c5707-d5f2-4675-bfca-e801e6b0f627,185,ons,rare
Dragon Mantle,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.11,Uncommon,41,ca32fd66-f7f1-4e50-817f-bb259f690f00,174,cmr,common
Fiery Emancipation,Wilds of Eldraine: Enchanting Tales,1,FALSE,7.19,Rare,42,0b12e4b7-2c45-4795-94d3-901f89b8f290,143,m21,mythic
Impact Tremors,Wilds of Eldraine: Enchanting Tales,1,TRUE,1.93,Uncommon,44,d0b7cecf-b51b-4d30-b7e9-cd7976271e07,717,fdn,common
Leyline of Lightning,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.25,Rare,45,23d09839-b41e-4aab-8913-40d63052dbf3,68,gpt,rare
Mana Flare,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.60,Rare,46,a4bb303d-b230-430a-a2c3-f91a776de34e,103,me1,rare
Raid Bombardment,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.17,Uncommon,47,ca75d458-4947-4075-89b6-e93936c67370,142,uma,common
Shared Animosity,Wilds of Eldraine: Enchanting Tales,1,TRUE,1.16,Rare,49,1bd77ae9-c5ba-44af-80e9-7c852722ef6c,231,lcc,rare
Sneak Attack,Wilds of Eldraine: Enchanting Tales,1,TRUE,4.55,Mythic Rare,50,a45b4ca9-4355-4690-84c3-a7d44c367dbf,139,dmr,mythic
Defense of the Heart,Wilds of Eldraine: Enchanting Tales,1,FALSE,8.64,Mythic Rare,51,9e93381f-627f-41b6-b1b6-45d712a44d8e,100,ulg,rare
Doubling Season,Wilds of Eldraine: Enchanting Tales,1,FALSE,35.02,Mythic Rare,52,f2c4f80e-84a0-463b-82c3-5c6503809351,216,fdn,mythic
Garruk's Uprising,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.78,Uncommon,53,4805c303-e73b-443b-a09f-49d2c2c88bb5,220,fdn,uncommon
Ground Seal,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.19,Uncommon,54,c4e9995e-f26b-4638-b69d-a310f58f0331,149,c18,rare
Hardened Scales,Wilds of Eldraine: Enchanting Tales,1,TRUE,3.64,Rare,55,fc69ad56-9ae2-4eb5-b7e2-558524f6cbcc,243,lcc,rare
Leyline of Abundance,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.49,Rare,56,c68e8342-78d2-4826-a287-64c371b97d19,179,m20,rare
Nature's Will,Wilds of Eldraine: Enchanting Tales,1,TRUE,4.05,Rare,57,75a291a0-db0d-4ccc-b7ae-240cafa41883,230,chk,rare
Primal Vigor,Wilds of Eldraine: Enchanting Tales,1,TRUE,8.43,Rare,59,dafea0d1-6986-46b3-affc-1337ef564947,162,c13,rare
Prismatic Omen,Wilds of Eldraine: Enchanting Tales,1,FALSE,0.77,Rare,60,e75594cc-de47-49f2-9a8b-ba76c576368e,126,shm,rare
Season of Growth,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.23,Uncommon,61,65b9a718-01b9-46b2-85eb-55f6206ee5e4,191,m20,uncommon
Unnatural Growth,Wilds of Eldraine: Enchanting Tales,1,TRUE,4.33,Rare,62,6748a844-e185-4e3b-ac1d-8a735666d8ae,206,mid,rare
Utopia Sprawl,Wilds of Eldraine: Enchanting Tales,1,TRUE,0.51,Uncommon,63,5ea568df-04a1-4012-98ec-ba75e189e0ca,159,rvr,uncommon
