Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Archon's Glory,Wilds of Eldraine,1,TRUE,0.05,Common,2,e71768e7-4ef7-4fb2-838b-eb3a7f662d38,2,woe,common
Armory Mice,Wilds of Eldraine,1,TRUE,0.04,Common,3,4b041949-6fb6-40a6-9329-f209be537219,3,woe,common
Break the Spell,Wilds of Eldraine,1,TRUE,0.12,Common,5,f7094fc0-1d26-429c-9b49-37718c4a5c80,5,woe,common
Charmed Clothier,Wilds of Eldraine,1,TRUE,0.07,Common,6,994f4473-dfc9-45cd-8528-945db3aa6a9a,6,woe,common
Cooped Up,Wilds of Eldraine,1,TRUE,0.11,Common,8,8acb8758-09c5-4e19-ada1-904e36ece1fc,8,woe,common
Cursed Courtier,Wilds of Eldraine,1,FALSE,0.15,Uncommon,9,3d2d5a71-d6e1-4c96-9a53-0e370047a56e,9,woe,uncommon
Dutiful Griffin,Wilds of Eldraine,1,TRUE,0.05,Uncommon,11,b8e40377-990f-41ea-8dd2-62a998dcd128,11,woe,uncommon
Eerie Interference,Wilds of Eldraine,1,TRUE,0.09,Uncommon,12,42a74545-75c8-4a6b-bee1-ac5665d9bcf0,12,woe,uncommon
Gallant Pie-Wielder,Wilds of Eldraine,1,TRUE,0.03,Uncommon,15,e053d330-d0a2-4468-afba-42bf165b8fbf,15,woe,uncommon
Hopeful Vigil,Wilds of Eldraine,1,TRUE,0.04,Common,17,d382fd32-b1f5-4ec7-9d42-fc2915ed3bc9,17,woe,common
Kellan's Lightblades,Wilds of Eldraine,1,FALSE,0.14,Common,18,0cc727a6-f875-49b1-b7a4-67f22fbc3d50,18,woe,common
Moonshaker Cavalry,Wilds of Eldraine,1,TRUE,9.97,Mythic Rare,21,092c48bd-b648-4c9e-aa99-cac3c407911d,21,woe,mythic
Plunge into Winter,Wilds of Eldraine,1,TRUE,0.06,Common,22,fe4aceba-f386-457c-bc68-6382eda46754,22,woe,common
The Princess Takes Flight,Wilds of Eldraine,1,TRUE,0.07,Uncommon,23,dad7bd06-22e4-40f8-bda9-bcdbb2d8f632,23,woe,uncommon
Regal Bunnicorn,Wilds of Eldraine,1,TRUE,1.80,Rare,25,03c7d409-90e7-44d7-a8c6-4eda35fbcc83,25,woe,rare
Return Triumphant,Wilds of Eldraine,1,TRUE,0.06,Common,26,f5209c13-9591-48eb-8d6c-112b3bdd429a,26,woe,common
