Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Akoum Battlesinger,Worldwake,1,FALSE,0.22,Common,71,031950b6-110f-4e20-b31b-afe5ffdd6086,71,wwk,common
Apex Hawks,Worldwake,1,FALSE,0.19,Common,2,2dcbd8bc-45c8-48a9-bfb6-a2146fd26061,67,cns,common
Battle Hurda,Worldwake,1,FALSE,0.18,Common,4,2f540b83-67fd-4630-a461-69bc84b88ed3,4,wwk,common
Bloodhusk Ritualist,Worldwake,1,FALSE,0.25,Uncommon,50,31ae4ee7-c540-4e32-95a4-6a2e7def094f,101,c17,uncommon
Bojuka Bog,Worldwake,1,FALSE,1.33,Common,132,e286c618-ef42-433f-ade9-0c1235a295e3,265,dsc,common
Bojuka Brigand,Worldwake,1,FALSE,0.20,Common,51,33e0aa67-0ea9-4c50-8297-369ab486fd0f,51,wwk,common
Brink of Disaster,Worldwake,1,FALSE,0.19,Common,52,dbab78cd-a899-4c5d-86b3-0666adadba87,84,m12,common
Calcite Snapper,Worldwake,1,FALSE,0.20,Common,25,aec0c914-1188-45c9-a68c-c3b915dbebf7,25,wwk,common
Claws of Valakut,Worldwake,1,FALSE,0.25,Common,75,1bd90bc0-93b6-427f-96ad-b303dcc0383f,72,ddg,common
Corrupted Zendikon,Worldwake,1,FALSE,0.20,Common,55,0ce7d93d-3998-4486-b277-e4f91f6e3feb,55,wwk,common
Cosi's Ravager,Worldwake,1,FALSE,0.20,Common,77,cab3f6db-862f-4d85-9879-6f1b74e67a6a,52,ddi,common
Crusher Zendikon,Worldwake,1,FALSE,0.20,Common,78,fbf140fa-a901-41a5-a10f-f97ccef72fcc,78,wwk,common
Cunning Sparkmage,Worldwake,1,FALSE,0.41,Uncommon,79,699842c1-6507-48ee-b98b-3774d1f07c76,79,wwk,uncommon
Dead Reckoning,Worldwake,1,FALSE,0.20,Common,56,ad16a3b8-e99e-47ed-92ce-ef42310f9f46,56,wwk,common
Deathforge Shaman,Worldwake,1,FALSE,0.25,Uncommon,80,1122983b-94c7-4edc-af75-deecf9bdc067,141,cns,uncommon
Enclave Elite,Worldwake,1,FALSE,0.20,Common,27,1641ff92-f3e0-4f9c-996a-15e4b103fa3c,96,cns,common
Everflowing Chalice,Worldwake,1,FALSE,0.57,Uncommon,123,e89eca1c-19f5-4db0-9330-cecb87be8b55,227,mkc,uncommon
Explore,Worldwake,1,FALSE,0.30,Common,99,3976affd-8c2b-499a-a946-b629c2ba59c7,192,otc,common
Fledgling Griffin,Worldwake,1,FALSE,0.19,Common,5,1739550d-3bd8-421b-b2a9-95dd3bff2ce2,5,wwk,common
