Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Flooded Strand,Zendikar Rising Expeditions,1,TRUE,40.88,Mythic Rare,1,8f85e12c-196b-4459-b81f-0c9c854e9f57,220,mh3,rare
Polluted Delta,Zendikar Rising Expeditions,1,FALSE,32.40,Mythic Rare,2,6e288374-2b71-4ace-b1d2-a19fee6cb4af,224,mh3,rare
Bloodstained Mire,Zendikar Rising Expeditions,1,FALSE,23.70,Mythic Rare,3,579743fe-f71e-4cb2-8629-d6b02ed1591d,216,mh3,rare
Marsh Flats,Zendikar Rising Expeditions,1,FALSE,28.49,Mythic Rare,6,9db3ba6d-eb7f-4f5b-9a3b-c6239c3baa42,248,mh2,rare
Scalding Tarn,Zendikar Rising Expeditions,1,TRUE,48.50,Mythic Rare,7,71e491c5-8c07-449b-b2f1-ffa052e6d311,254,mh2,rare
Arid Mesa,Zendikar Rising Expeditions,1,TRUE,40.06,Mythic Rare,9,25ac5405-df7b-4097-914a-022cb18e20d4,244,mh2,rare
Misty Rainforest,Zendikar Rising Expeditions,1,FALSE,38.22,Mythic Rare,10,88231c0d-0cc8-44ec-bf95-81d1710ac141,250,mh2,rare
Darkslick Shores,Zendikar Rising Expeditions,1,FALSE,9.54,Mythic Rare,12,c49305d1-ac95-43ea-b02d-c3c7205bcda6,281,otc,rare
Blackcleave Cliffs,Zendikar Rising Expeditions,1,FALSE,6.35,Mythic Rare,13,f75715ce-744f-409c-aeb1-e66eb9186a74,263,dsc,rare
Copperline Gorge,Zendikar Rising Expeditions,1,TRUE,5.70,Mythic Rare,14,78b0f36b-7d8c-4e77-adc2-a4dad93a81d5,249,one,rare
Sea of Clouds,Zendikar Rising Expeditions,1,TRUE,17.18,Mythic Rare,16,d4fb722f-40af-4bd1-b660-e8186b98f233,360,clb,rare
Luxury Suite,Zendikar Rising Expeditions,1,TRUE,20.93,Mythic Rare,18,6fc5fc38-4054-4663-9061-df5455788c4a,355,clb,rare
Bountiful Promenade,Zendikar Rising Expeditions,1,TRUE,13.55,Mythic Rare,20,5125a8d8-344d-4419-b37a-ddf343493c5f,348,clb,rare
Ancient Tomb,Zendikar Rising Expeditions,1,FALSE,96.86,Mythic Rare,21,bd3d4b4b-cf31-4f89-8140-9650edb03c7b,236,uma,rare
Cavern of Souls,Zendikar Rising Expeditions,1,TRUE,62.14,Mythic Rare,22,3aad15a2-8a1b-4460-9b06-e85863081878,269,lci,mythic
Celestial Colonnade,Zendikar Rising Expeditions,1,FALSE,1.75,Mythic Rare,23,4c830a99-595b-4aed-9f6b-85a78917f498,238,uma,rare
Creeping Tar Pit,Zendikar Rising Expeditions,1,TRUE,3.04,Mythic Rare,24,1f60e172-fcdc-4699-a212-815201375d47,888,clb,rare
Prismatic Vista,Zendikar Rising Expeditions,1,TRUE,45.40,Mythic Rare,27,e37da81e-be12-45a2-9128-376f1ad7b3e8,244,mh1,rare
"Valakut, the Molten Pinnacle",Zendikar Rising Expeditions,1,TRUE,36.96,Mythic Rare,29,37bce60d-2cb0-4772-9f5c-122a7ed426a0,228,zen,rare
Wasteland,Zendikar Rising Expeditions,1,FALSE,24.69,Mythic Rare,30,aaafb9bc-7cea-4624-a227-595544fa42b0,248,ema,rare
