Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Æther Figment,Zendikar,1,FALSE,0.25,Uncommon,40,15fd5ce4-335f-409c-a09e-e17a41c2da71,5,ddm,uncommon
Akoum Refuge,Zendikar,1,FALSE,0.30,Uncommon,210,51aecc57-f0cc-4e35-af38-ead25cf8a1b8,226,c19,uncommon
Archive Trap,Zendikar,1,FALSE,4.79,Rare,41,67bb2ca9-32b8-442d-b6a0-d624a87f5af8,41,zen,rare
Arrow Volley Trap,Zendikar,1,FALSE,0.24,Uncommon,2,b8b3ea52-2338-4499-9100-c4be73cdfc32,71,ddn,uncommon
Baloth Woodcrasher,Zendikar,1,FALSE,0.25,Uncommon,157,5c15f211-2c59-4b02-ac91-955f695816ec,130,c18,uncommon
Beast Hunt,Zendikar,1,FALSE,0.20,Common,158,46465b5f-26fa-4a07-9dc9-55486edee31a,158,zen,common
Bladetusk Boar,Zendikar,1,FALSE,0.20,Common,118,5f157fb0-81ac-4108-aafc-7ee81df965a9,90,jou,common
Blazing Torch,Zendikar,1,FALSE,0.20,Uncommon,197,4e14fc60-f300-40f0-b712-4e339dc27929,216,isd,common
Blood Seeker,Zendikar,1,FALSE,0.26,Common,80,fe88cbee-5f6c-47e0-8a84-192c4c2ca984,77,dsc,common
Bog Tatters,Zendikar,1,FALSE,0.20,Common,84,a0830c00-02fa-4fc8-907c-19d4b7f9cd6e,84,zen,common
Bold Defense,Zendikar,1,FALSE,0.20,Common,3,5f657723-dd5d-4786-9d9b-ac7ed279615a,3,zen,common
Brave the Elements,Zendikar,1,FALSE,0.50,Uncommon,4,4c8ff6cd-e3ac-4024-aacb-86f7e1f43ba0,66,c14,uncommon
Burst Lightning,Zendikar,1,FALSE,0.28,Common,119,aec5d380-d354-4750-931a-6c91853e2edc,192,fdn,common
Caller of Gales,Zendikar,1,FALSE,0.20,Common,43,41bd76f3-299d-4bc0-a603-2cc7db7dac7b,103,cn2,common
Caravan Hurda,Zendikar,1,FALSE,0.20,Common,5,ffdf3a3d-292d-40b9-b28c-34ad33a76bb4,5,zen,common
Carnage Altar,Zendikar,1,FALSE,0.25,Uncommon,198,c08486d3-3d94-49c7-b8c9-61eb8a3e6428,238,c13,uncommon
Cliff Threader,Zendikar,1,FALSE,0.20,Common,7,1743b625-e937-4cac-8701-9e2dd709a9a4,7,zen,common
Conqueror's Pledge,Zendikar,1,FALSE,0.45,Rare,8,1af1844a-601a-48c1-bf96-921d2d2e2aa1,8,zen,rare
Crypt Ripper,Zendikar,1,FALSE,0.20,Common,85,9920e91d-58c1-4c1a-a177-43423db96842,85,zen,common
Demolish,Zendikar,1,FALSE,0.20,Common,121,3abaf8fe-5fab-442c-b219-45137f9ae112,106,rvr,common
Desecrated Earth,Zendikar,1,FALSE,0.20,Common,86,3f05e478-8712-41de-94af-ecb90432e562,86,zen,common
Disfigure,Zendikar,1,FALSE,0.20,Common,87,aaa9c6f1-3938-448b-bdc3-22420c5984d3,91,bro,common
Expedition Map,Zendikar,1,FALSE,1.65,Common,201,08e66835-c228-48fa-bcaa-eb96edbd4f5a,724,fdn,common
Explorer's Scope,Zendikar,1,FALSE,0.25,Common,202,be120499-fe2f-4c21-982c-566d0dbbddff,380,cmm,common
Feast of Blood,Zendikar,1,FALSE,0.28,Uncommon,88,1a7dd5e2-b2a5-46ab-a67c-499451706505,88,zen,uncommon
Forest (248) Full Art,Zendikar,1,FALSE,1.00,Basic Land,248,,,,
Forest (249),Zendikar,1,FALSE,0.30,Basic Land,249,,,,
Forest (246),Zendikar,1,FALSE,0.27,Basic Land,246,,,,
