Name,Set,Qty,Foil,Avg Price,Rarity,Number
Aim High,Battlebond,1,FALSE,0.20,Uncommon,189
Angel of Retribution,Battlebond,1,FALSE,0.25,Uncommon,86
Angelic Chorus,Battlebond,1,FALSE,5.63,Rare,87
Angelic Gift,Battlebond,1,FALSE,0.20,Common,88
Apocalypse Hydra,Battlebond,1,FALSE,0.98,Rare,217
Archon of Valor's Reach,Battlebond,1,FALSE,0.50,Rare,74
Assassinate,Battlebond,1,FALSE,0.19,Common,139
Assassin's Strike,Battlebond,1,FALSE,0.24,Uncommon,138
Auger Spree,Battlebond,1,FALSE,0.18,Common,218
Aurora Champion,Battlebond,1,FALSE,0.16,Common,24
Azra Bladeseeker,Battlebond,1,FALSE,0.16,Common,55
Azra Oddsmaker,Battlebond,1,FALSE,0.50,Uncommon,75
Bathe in Dragonfire,Battlebond,1,FALSE,0.19,Common,164
Battle Rampart,Battlebond,1,FALSE,0.19,Common,165
Benthic Giant,Battlebond,1,FALSE,0.15,Common,113
Blaring Captain,Battlebond,1,FALSE,0.24,Uncommon,14a/13b
Blaring Recruiter,Battlebond,1,FALSE,0.25,Uncommon,13a/14b
Blaze,Battlebond,1,FALSE,0.25,Uncommon,167
Blood Feud,Battlebond,1,FALSE,0.24,Uncommon,168
Bloodborn Scoundrels,Battlebond,1,FALSE,0.18,Common,45
Boldwyr Intimidator,Battlebond,1,FALSE,0.24,Uncommon,169
Borderland Marauder,Battlebond,1,FALSE,0.18,Common,170
Bountiful Promenade,Battlebond,1,FALSE,8.90,Rare,81
Bring Down,Battlebond,1,FALSE,0.23,Uncommon,26
Bull-Rush Bruiser,Battlebond,1,FALSE,0.19,Common,57
Call to Heel,Battlebond,1,FALSE,0.18,Common,114
Canopy Spider,Battlebond,1,FALSE,0.19,Common,191
Centaur Healer,Battlebond,1,FALSE,0.18,Common,219
Chain Lightning,Battlebond,1,FALSE,0.49,Uncommon,171
Chakram Retriever,Battlebond,1,FALSE,3.03,Uncommon,15a/16b
Chakram Slinger,Battlebond,1,FALSE,0.25,Uncommon,16a/15b
Champion of Arashin,Battlebond,1,FALSE,0.18,Common,90
Charging Binox,Battlebond,1,FALSE,0.16,Common,66
Charging Rhino,Battlebond,1,FALSE,0.19,Common,192
Cheering Fanatic,Battlebond,1,FALSE,0.25,Uncommon,58
Claustrophobia,Battlebond,1,FALSE,0.19,Common,115
Combo Attack,Battlebond,1,FALSE,0.20,Common,67
Consulate Skygate,Battlebond,1,FALSE,0.18,Common,232
Coralhelm Guide,Battlebond,1,FALSE,0.19,Common,116
Cowl Prowler,Battlebond,1,FALSE,0.18,Common,193
Culling Dais,Battlebond,1,FALSE,0.28,Uncommon,233
Daggerback Basilisk,Battlebond,1,FALSE,0.20,Common,194
Daggerdrome Imp,Battlebond,1,FALSE,0.19,Common,140
Dinrova Horror,Battlebond,1,FALSE,0.25,Uncommon,220
Doomed Dissenter,Battlebond,1,FALSE,0.20,Common,142
Doomed Traveler,Battlebond,1,FALSE,0.20,Common,91
Doubling Season,Battlebond,1,FALSE,39.20,Mythic Rare,195
Dragon Breath,Battlebond,1,FALSE,0.25,Uncommon,172
Dragon Hatchling,Battlebond,1,FALSE,0.20,Common,173
Dwarven Lightsmith,Battlebond,1,FALSE,0.18,Common,27
Eager Construct,Battlebond,1,FALSE,0.19,Common,234
Earth Elemental,Battlebond,1,FALSE,0.19,Common,174
Elvish Visionary,Battlebond,1,FALSE,0.20,Common,196
Ember Beast,Battlebond,1,FALSE,0.15,Common,175
Enthralling Victor,Battlebond,1,FALSE,0.20,Uncommon,176
Expedite,Battlebond,1,FALSE,0.29,Common,177
Expedition Raptor,Battlebond,1,FALSE,0.15,Common,92
Eyeblight Assassin,Battlebond,1,FALSE,0.19,Common,143
Fan Favorite,Battlebond,1,FALSE,0.18,Common,46
Feral Hydra,Battlebond,1,FALSE,0.33,Uncommon,197
Fertile Ground,Battlebond,1,FALSE,0.25,Common,198
Fertilid,Battlebond,1,FALSE,0.30,Uncommon,199
Fill with Fright,Battlebond,1,FALSE,0.18,Common,144
Flamewave Invoker,Battlebond,1,FALSE,0.25,Uncommon,178
Forest (254),Battlebond,1,FALSE,1.00,Basic Land,254
Frost Lynx,Battlebond,1,FALSE,0.15,Common,118
Fumble,Battlebond,1,FALSE,0.44,Uncommon,34
Gang Up,Battlebond,1,FALSE,0.25,Uncommon,47
Generous Patron,Battlebond,1,FALSE,5.20,Rare,70
Genesis Chamber,Battlebond,1,FALSE,3.26,Uncommon,235
Giant Growth,Battlebond,1,FALSE,0.20,Common,200
Gold-Forged Sentinel,Battlebond,1,FALSE,0.20,Uncommon,236
Gorm the Great,Battlebond,1,FALSE,0.50,Rare,8a/7b
Greater Good,Battlebond,1,TRUE,17.49,Rare,201
Grotesque Mutation,Battlebond,1,FALSE,0.19,Common,145
Hand of Silumgar,Battlebond,1,FALSE,0.19,Common,146
Hexplate Golem,Battlebond,1,FALSE,0.18,Common,237
Huddle Up,Battlebond,1,FALSE,0.16,Common,36
Hunted Wumpus,Battlebond,1,FALSE,0.25,Uncommon,202
Impetuous Protege,Battlebond,1,FALSE,0.24,Uncommon,19a/20b
Impulse,Battlebond,1,FALSE,0.23,Common,119
Island (251),Battlebond,1,FALSE,0.62,Basic Land,251
Jelenn Sphinx,Battlebond,1,FALSE,0.25,Uncommon,224
Jubilant Mascot,Battlebond,1,FALSE,0.22,Uncommon,28
Juggernaut,Battlebond,1,FALSE,0.20,Uncommon,238
Jungle Wayfinder,Battlebond,1,FALSE,0.20,Common,72
Karametra's Favor,Battlebond,1,FALSE,0.25,Uncommon,203
Khorvath Brightflame,Battlebond,1,FALSE,0.60,Rare,9a/10b
Kiss of the Amesha,Battlebond,1,FALSE,0.20,Uncommon,225
Kitesail Corsair,Battlebond,1,FALSE,0.19,Common,120
Kraken Hatchling,Battlebond,1,FALSE,0.19,Common,121
Kraul Warrior,Battlebond,1,FALSE,0.19,Common,204
Last Gasp,Battlebond,1,FALSE,0.17,Common,147
Last One Standing,Battlebond,1,FALSE,2.82,Rare,76
Lava-Field Overlord,Battlebond,1,FALSE,0.24,Uncommon,60
Lead by Example,Battlebond,1,FALSE,0.18,Common,205
Ley Weaver,Battlebond,1,FALSE,0.39,Uncommon,21a/22b
Lightning Talons,Battlebond,1,FALSE,0.19,Common,180
Lightwalker,Battlebond,1,FALSE,0.15,Common,95
Liturgy of Blood,Battlebond,1,FALSE,0.18,Common,148
Long Road Home,Battlebond,1,FALSE,0.25,Uncommon,96
Lore Weaver,Battlebond,1,FALSE,0.25,Uncommon,22a/21b
Luxury Suite,Battlebond,1,FALSE,12.23,Rare,82
Magma Hellion,Battlebond,1,FALSE,0.20,Common,61
Millennial Gargoyle,Battlebond,1,FALSE,0.16,Common,239
Mindblade Render,Battlebond,1,FALSE,0.63,Rare,49
Mind's Eye,Battlebond,1,FALSE,4.19,Rare,240
Morbid Curiosity,Battlebond,1,FALSE,0.25,Uncommon,149
Morphic Pool,Battlebond,1,FALSE,13.60,Rare,83
Mountain (253),Battlebond,1,FALSE,0.94,Basic Land,253
Mycosynth Lattice,Battlebond,1,FALSE,13.14,Mythic Rare,241
Mystic Confluence,Battlebond,1,FALSE,0.82,Rare,122
"Najeela, the Blade-Blossom",Battlebond,1,FALSE,10.00,Mythic Rare,62
Negate,Battlebond,1,FALSE,0.24,Common,123
Night Market Guard,Battlebond,1,FALSE,0.16,Common,242
Nimbus Champion,Battlebond,1,FALSE,0.20,Uncommon,37
Nimbus of the Isles,Battlebond,1,FALSE,0.17,Common,124
Noosegraf Mob,Battlebond,1,FALSE,0.50,Rare,151
Noxious Dragon,Battlebond,1,FALSE,0.20,Uncommon,152
Omenspeaker,Battlebond,1,FALSE,0.18,Common,125
Opportunity,Battlebond,1,FALSE,0.22,Uncommon,126
Oracle's Insight,Battlebond,1,FALSE,0.20,Uncommon,127
Out of Bounds,Battlebond,1,FALSE,0.25,Uncommon,38
Pacifism,Battlebond,1,FALSE,0.19,Common,101
Painful Lesson,Battlebond,1,FALSE,0.20,Common,154
Pathmaker Initiate,Battlebond,1,FALSE,0.19,Common,182
Peace Strider,Battlebond,1,FALSE,0.15,Common,243
Phantom Warrior,Battlebond,1,FALSE,0.20,Uncommon,129
Pierce Strider,Battlebond,1,FALSE,0.20,Common,244
"Pir, Imaginative Rascal",Battlebond,1,FALSE,6.86,Rare,11a/12b
Plains (250),Battlebond,1,FALSE,0.50,Basic Land,250
Plated Crusher,Battlebond,1,FALSE,0.24,Uncommon,207
Play of the Game,Battlebond,1,FALSE,0.53,Rare,29
Prakhata Club Security,Battlebond,1,FALSE,0.15,Common,155
Primal Huntbeast,Battlebond,1,FALSE,0.16,Common,208
Proud Mentor,Battlebond,1,FALSE,0.25,Uncommon,20a/19b
Pulse of Murasa,Battlebond,1,FALSE,0.23,Uncommon,209
Quest for the Gravelord,Battlebond,1,FALSE,0.25,Uncommon,156
Raptor Companion,Battlebond,1,FALSE,0.20,Common,102
Rebuke,Battlebond,1,FALSE,0.15,Common,103
Reckless Reveler,Battlebond,1,FALSE,0.19,Common,183
Reckless Scholar,Battlebond,1,FALSE,0.21,Uncommon,130
"Regna, the Redeemer",Battlebond,1,FALSE,0.95,Rare,3a/4b
Return to the Earth,Battlebond,1,FALSE,0.19,Common,210
Rhox Brute,Battlebond,1,FALSE,0.18,Common,227
Rotfeaster Maggot,Battlebond,1,FALSE,0.19,Common,157
Rowan Kenrith,Battlebond,1,FALSE,0.89,Mythic Rare,2a/1b
Rushblade Commander,Battlebond,1,FALSE,0.28,Uncommon,77
Saltwater Stalwart,Battlebond,1,FALSE,0.20,Common,39
Screeching Buzzard,Battlebond,1,FALSE,0.17,Common,158
Seedborn Muse,Battlebond,1,FALSE,9.47,Rare,212
Seer's Lantern,Battlebond,1,FALSE,0.19,Common,245
Shambling Ghoul,Battlebond,1,FALSE,0.18,Common,159
Shock,Battlebond,1,FALSE,0.20,Common,184
Shoulder to Shoulder,Battlebond,1,TRUE,0.26,Common,105
Sickle Dancer,Battlebond,1,FALSE,0.18,Common,50
Silverchase Fox,Battlebond,1,FALSE,0.20,Common,106
Skyshroud Claim,Battlebond,1,TRUE,7.47,Common,213
Skystreamer,Battlebond,1,FALSE,0.18,Common,31
Soaring Show-Off,Battlebond,1,FALSE,0.19,Common,40
Solemn Offering,Battlebond,1,FALSE,0.20,Uncommon,107
Soulblade Corrupter,Battlebond,1,FALSE,0.24,Uncommon,17a/18b
Soulblade Renewer,Battlebond,1,FALSE,0.25,Uncommon,18a/17b
Sparring Mummy,Battlebond,1,FALSE,0.18,Common,108
Spectral Searchlight,Battlebond,1,FALSE,0.22,Uncommon,246
Spell Snare,Battlebond,1,FALSE,6.50,Uncommon,132
Spellseeker,Battlebond,1,FALSE,10.64,Rare,41
Spellweaver Duo,Battlebond,1,FALSE,0.18,Common,42
Spire Garden,Battlebond,1,FALSE,10.10,Rare,85
Stadium Vendors,Battlebond,1,FALSE,0.20,Common,63
Steppe Glider,Battlebond,1,FALSE,0.20,Uncommon,109
Stolen Strategy,Battlebond,1,FALSE,1.00,Rare,64
Stone Golem,Battlebond,1,TRUE,0.15,Common,247
Swamp (252),Battlebond,1,FALSE,0.61,Basic Land,252
Switcheroo,Battlebond,1,FALSE,0.21,Uncommon,133
Swords to Plowshares,Battlebond,1,FALSE,1.37,Uncommon,110
Sylvia Brightspear,Battlebond,1,FALSE,1.99,Rare,10a/9b
Take Up Arms,Battlebond,1,FALSE,0.21,Uncommon,111
Tandem Tactics,Battlebond,1,FALSE,0.15,Common,112
Tavern Swindler,Battlebond,1,FALSE,0.20,Uncommon,162
Tenacious Dead,Battlebond,1,FALSE,0.25,Uncommon,163
The Crowd Goes Wild,Battlebond,1,FALSE,0.25,Uncommon,68
Thrasher Brute,Battlebond,1,FALSE,0.25,Uncommon,52
Thunder Strike,Battlebond,1,FALSE,0.20,Common,185
"Toothy, Imaginary Friend",Battlebond,1,FALSE,7.48,Rare,12a/11b
Totally Lost,Battlebond,1,TRUE,0.08,Common,135
Trumpet Blast,Battlebond,1,FALSE,0.23,Uncommon,186
Tyrant's Machine,Battlebond,1,FALSE,0.18,Common,248
Urborg Drake,Battlebond,1,FALSE,0.19,Common,231
Vampire Charmseeker,Battlebond,1,FALSE,0.25,Uncommon,78
Veteran Explorer,Battlebond,1,FALSE,0.35,Uncommon,214
Victory Chimes,Battlebond,1,TRUE,5.93,Rare,80
Virtus the Veiled,Battlebond,1,FALSE,8.25,Rare,7a/8b
Wandering Wolf,Battlebond,1,FALSE,0.24,Common,216
War's Toll,Battlebond,1,FALSE,5.26,Rare,187
Watercourser,Battlebond,1,FALSE,0.18,Common,137
Will Kenrith,Battlebond,1,FALSE,1.35,Mythic Rare,1a/2b
Wrap in Flames,Battlebond,1,FALSE,0.18,Common,188
Yotian Soldier,Battlebond,1,FALSE,0.16,Common,249
Zndrsplt's Judgment,Battlebond,1,FALSE,0.40,Rare,43
