Name,Set,Qty,Foil,Avg Price,Rarity,Number
Aggressive Instinct,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,34
Ancestor Dragon,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,3.75,Rare,12
Armored Whirl Turtle,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,7
Breath of Fire,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,33
Brilliant Plan,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Uncommon,17
Cleansing Screech,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.24,Common,37
Cloak of Mists,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.33,Common,13
Colorful Feiyi Sparrow,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,2
Confidence from Strength,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,35
Dragon's Presence,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,16
Drown in Shapelessness,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,15
Earth-Origin Yak,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,9
Earthshaking Si,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.24,Common,31
Feiyi Snake,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.24,Common,24
Ferocious Zheng,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.24,Common,28
Fire-Omen Crane,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Uncommon,29
Forest,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,1.12,Basic Land,40
Giant Spider,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,27
Hardened-Scale Armor,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,32
Heavenly Qilin,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,6
Island,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.99,Basic Land,21
Jiang Yanggu,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.00,Mythic Rare,22
Journey for the Elixir,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.26,Rare,36
Leopard-Spotted Jiao,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,23
Meandering River,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,19
Moon-Eating Dog,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Uncommon,10
Mountain,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.98,Basic Land,39
Mu Yanling,Global Series: Jiang Yanggu and Mu Yanling,1,TRUE,2.94,Mythic Rare,1
Nine-Tail White Fox,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.28,Common,8
Plains,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.50,Basic Land,20
Purple-Crystal Crab,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.35,Common,3
Qilin's Blessing,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.27,Common,14
Reckless Pangolin,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.24,Common,26
Rhythmic Water Vortex,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.28,Rare,18
Sacred White Deer,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Uncommon,25
Screeching Phoenix,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.41,Rare,30
Stormcloud Spirit,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Uncommon,11
Timber Gorge,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,38
Vivid Flying Fish,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,4
Welkin Tern,Global Series: Jiang Yanggu and Mu Yanling,1,FALSE,0.25,Common,5
