Name,Set,Qty,Foil,Avg Price,Rarity,Number
Rodolf Duskbringer,Jumpstart 2022,2,FALSE,7.69,Rare,25
Termination Facilitator,Jumpstart 2022,1,FALSE,1.28,Rare,28
Ogre Battlecaster,Jumpstart 2022,1,FALSE,0.25,Rare,36
Karn Liberated,Jumpstart 2022,1,FALSE,4.57,Mythic Rare,97
Dawn of Hope,Jumpstart 2022,1,FALSE,0.33,Rare,169
Regal Caracal,Jumpstart 2022,1,FALSE,3.81,Rare,232
Righteous Valkyrie,Jumpstart 2022,1,FALSE,4.97,Rare,234
"Barrin, Tolarian Archmage",Jumpstart 2022,1,FALSE,0.25,Rare,276
Harbinger of the Tides,Jumpstart 2022,1,FALSE,0.44,Rare,306
"Jace, Arcane Strategist",Jumpstart 2022,1,FALSE,0.77,Mythic Rare,310
Stolen by the Fae,Jumpstart 2022,1,FALSE,0.31,Rare,353
Wake Thrasher,Jumpstart 2022,1,FALSE,0.27,Rare,369
Bloodtracker,Jumpstart 2022,1,FALSE,0.25,Rare,382
Graveblade Marauder,Jumpstart 2022,1,FALSE,0.25,Rare,422
"Vito, Thorn of the Dusk Rose",Jumpstart 2022,1,FALSE,6.16,Rare,487
"Gadrak, the Crown-Scourge",Jumpstart 2022,1,FALSE,0.50,Rare,538
Feed the Pack,Jumpstart 2022,1,FALSE,0.50,Rare,657
Kessig Cagebreakers,Jumpstart 2022,1,FALSE,0.31,Rare,681
Master of the Wild Hunt,Jumpstart 2022,1,FALSE,2.12,Mythic Rare,688
Rampaging Baloths,Jumpstart 2022,1,FALSE,0.55,Rare,715
