Name,Set,Qty,Foil,Avg Price,Rarity,Number
Blessed Sanctuary,Jumpstart,1,FALSE,1.18,Rare,1
"Inniaz, the Gale Force",Jumpstart,2,FALSE,0.30,Rare,12
Lightning Phoenix,Jumpstart,1,FALSE,0.35,Rare,21
Terramorphic Expanse,Jumpstart,1,FALSE,0.60,Common,78
Archon of Justice,Jumpstart,1,FALSE,0.27,Rare,89
Archon of Redemption,Jumpstart,1,FALSE,0.27,Rare,90
Cradle of Vitality,Jumpstart,1,FALSE,0.50,Rare,98
"Lena, Selfless Champion",Jumpstart,1,FALSE,0.50,Rare,117
Mentor of the Meek,Jumpstart,1,FALSE,0.44,Rare,121
Path of Bravery,Jumpstart,1,FALSE,0.35,Rare,126
"Kira, Great Glass-Spinner",Jumpstart,1,FALSE,4.10,Rare,154
Whelming Wave,Jumpstart,1,FALSE,0.69,Rare,193
Bogbrew Witch,Jumpstart,1,FALSE,0.25,Rare,211
"Gonti, Lord of Luxury",Jumpstart,1,FALSE,0.38,Rare,240
Sangromancer,Jumpstart,1,FALSE,1.25,Rare,272
Charmbreaker Devils,Jumpstart,1,FALSE,0.30,Rare,303
Dualcaster Mage,Jumpstart,1,FALSE,1.02,Rare,313
Goblin Goon,Jumpstart,1,FALSE,0.40,Rare,326
Grim Lavamancer,Jumpstart,1,FALSE,0.35,Rare,331
Magmaquake,Jumpstart,1,FALSE,0.30,Rare,347
Assault Formation,Jumpstart,1,FALSE,0.86,Rare,378
Momentous Fall,Jumpstart,1,FALSE,1.85,Rare,411
Primeval Bounty,Jumpstart,1,FALSE,0.85,Mythic Rare,421
Primordial Sage,Jumpstart,2,FALSE,0.75,Rare,422
Rampaging Brontodon,Jumpstart,1,FALSE,0.49,Rare,423
Ravenous Baloth,Jumpstart,1,FALSE,0.29,Rare,424
